commune,departement,latitude,longitude
Abomey,Zou,7.191635793555649,1.9774490319580753
Abomey-Calavi,Atlantique,6.504754292867903,2.3237414418130173
Adja-Ouere,Plateau,6.997097660340515,2.595756763753133
Adjara,Oueme,6.493021532225138,2.6776768661646035
Adjohoun,Oueme,6.709603919487631,2.5011880089691676
Agbangnizoun,Zou,7.096287809853819,1.9636419714187892
Aguegue,Oueme,6.475929918919308,2.531539001528978
Allada,Atlantique,6.678938155934844,2.1197749793853045
Aplahoue,Couffo,7.177111606501171,1.6923756176551725
Athieme,Mono,6.5436756545552175,1.7287354239953288
Banikoara,Alibori,11.34366510023733,2.396876410329336
Bante,collines,8.338480784727151,1.866295400536037
Bassila,Donga,8.970860728746748,1.8586693249137816
Bembereke,Borgou,10.272518583412676,2.753415633643857
Bohicon,Zou,7.1867494734424815,2.1022433978597954
Bonou,Oueme,6.8718703257535925,2.4833724716757306
Bopa,Mono,6.668481992362502,1.93108971552327
Boukoumbe,Atacora,10.247737917978927,1.1390595821346425
Cobli,Atacora,10.473632775633863,0.9090224524101653
Come,Mono,6.429469650790182,1.9043911049096776
Copargo,Donga,9.878690278523573,1.54679369211659
Cotonou,littoral,6.373763553260709,2.4199500360962607
Cove,Zou,7.337024527795497,2.288003967567963
Dangbo,Oueme,6.581625628781325,2.4915459534110154
Dassa-Zoume,collines,7.6924817113129205,2.2485228830345836
Djakotomey,Couffo,6.866520779674005,1.6965126999752658
Djougou,Donga,9.678108109654413,1.8548278713233317
Glazoue,collines,8.183456328053087,2.2291815315015633
Gogounou,Alibori,10.777017352749585,2.6996741504837316
Grand-Popo,Mono,6.332197016583347,1.8459450669087079
Houeyogbe,Mono,6.54732832130279,1.8522303423208015
Ifangni,Plateau,6.6520228512855955,2.714092204694824
Kalale,Borgou,10.370102633718012,3.3861057418714005
Kandi,Alibori,11.210515713525007,2.9652849902947227
Kerou,Atacora,10.929146490863118,2.0079712992140815
Klouekanme,Couffo,7.039117112903889,1.8360291109731575
Kouande,Atacora,10.429258195068863,1.7236972609671057
Kpomasse,Atlantique,6.456007514050732,2.012821138470758
Lokossa,Mono,6.678290150295465,1.7333610967384
Malanville,Alibori,11.660736872824724,3.260252391965463
Materi,Atacora,10.792724050991616,1.0328491977020864
N'Dali,Borgou,9.735093708998143,2.4684548651341283
Natitingou,Atacora,10.247392554228755,1.4106746346862256
Nikki,Borgou,9.950513451460784,3.1917400227956954
Ouake,Donga,9.595905874229233,1.4396669762442191
Ouesse,collines,8.52657993500617,2.486148958229972
Ouidah,Atlantique,6.380044901138328,2.1266677108208185
Ouinhi,Zou,7.069055536371519,2.4771222890483533
Parakou,Borgou,9.350100183748488,2.6095069077106743
Pehunco,Atacora,10.261323290297533,2.0342443134670045
Perere,Borgou,9.593545820716157,2.9909556998127913
Savalou,collines,7.888782020164946,1.8458862098595736
Save,collines,7.9984551329342,2.565517543170859
Segbana,Alibori,10.932858083266332,3.461330512413628
Seme-Kpodji,Oueme,6.401791683919778,2.6038259978103455
Sinende,Borgou,10.273433040152172,2.354194549409036
So-Ava,Atlantique,6.475656064401656,2.436475792846452
Tanguieta,Atacora,11.036384688809488,1.4439225233156598
Tchaourou,Borgou,9.166429130313608,2.49781231567091
Toffo,Atlantique,6.8525705002492545,2.177482650970962
Tori-Bossito,Atlantique,6.542533868406467,2.148769067566844
Toukountouna,Atacora,10.530889296722602,1.4670111933160286
Toviklin,Couffo,6.897724727323046,1.8225492436116018
Za-Kpota,Zou,7.232561220218115,2.2025348538650618
Zangnanado,Zou,7.273569581968519,2.3927053156281373
Ze,Atlantique,6.760106148252895,2.328452610210098
Zogbodome,Zou,7.023590854087013,2.181944782567727
Karimama,Alibori,11.945957085909328,2.74500512831111
Djidja,Zou,7.436925265827771,1.9277791457988345
Pobè,Plateau,7.092453487161509,2.684011539250854
Porto-Novo,Oueme,6.487662425764615,2.6114566517301174
Sakete,Plateau,6.777900197446247,2.6492048727924256
Avrankou,Oueme,6.5728666520565024,2.6377384519971696
Akpro-Misserete,Oueme,6.578506488781874,2.5821097248789893
Ketou,Plateau,7.4400831382053765,2.6007169717823135
Dogbo-Tota,Couffo,6.778984244318615,1.756021249685001
Lalo,Couffo,6.8639025665435,1.9730450305100264
