departement,annee,precip_01_mm,temp_moy_01_c,temp_max_01_c,temp_min_01_c,humidite_01_pct,rayonnement_01,precip_02_mm,temp_moy_02_c,temp_max_02_c,temp_min_02_c,humidite_02_pct,rayonnement_02,precip_03_mm,temp_moy_03_c,temp_max_03_c,temp_min_03_c,humidite_03_pct,rayonnement_03,precip_04_mm,temp_moy_04_c,temp_max_04_c,temp_min_04_c,humidite_04_pct,rayonnement_04,precip_05_mm,temp_moy_05_c,temp_max_05_c,temp_min_05_c,humidite_05_pct,rayonnement_05,precip_06_mm,temp_moy_06_c,temp_max_06_c,temp_min_06_c,humidite_06_pct,rayonnement_06,precip_07_mm,temp_moy_07_c,temp_max_07_c,temp_min_07_c,humidite_07_pct,rayonnement_07,precip_08_mm,temp_moy_08_c,temp_max_08_c,temp_min_08_c,humidite_08_pct,rayonnement_08,precip_09_mm,temp_moy_09_c,temp_max_09_c,temp_min_09_c,humidite_09_pct,rayonnement_09,precip_10_mm,temp_moy_10_c,temp_max_10_c,temp_min_10_c,humidite_10_pct,rayonnement_10,precip_11_mm,temp_moy_11_c,temp_max_11_c,temp_min_11_c,humidite_11_pct,rayonnement_11,precip_12_mm,temp_moy_12_c,temp_max_12_c,temp_min_12_c,humidite_12_pct,rayonnement_12,precip_annuelle_mm,temp_moy_annuelle_c,temp_max_annuelle_c,temp_min_annuelle_c,humidite_moy_annuelle_pct,rayonnement_moyen_annuel,indice_stress_hydrique
Alibori,2003,0.0,24.96,37.92,12.24,21.06,20.62,0.02,29.6,40.49,16.67,18.91,21.52,0.47,30.27,41.49,19.02,20.16,21.89,1.18,32.78,44.05,19.78,45.17,22.49,2.75,31.8,42.84,21.03,51.57,23.11,4.76,27.7,36.36,22.27,74.22,20.51,4.76,26.68,33.67,21.66,78.3,19.8,9.85,25.95,32.4,21.21,84.02,17.54,3.99,26.06,33.21,21.32,81.94,19.8,1.63,27.88,37.45,21.03,71.25,22.02,0.16,27.19,37.55,15.03,48.64,20.83,0.0,24.37,36.7,12.28,33.54,20.34,29.57,27.936666666666667,44.05,12.24,52.39833333333333,20.8725,0.009645265593494688
Alibori,2004,0.03,25.97,38.3,15.55,25.6,20.25,0.0,27.1,40.35,15.68,18.87,19.74,0.02,29.48,42.96,15.51,19.84,19.99,0.88,33.06,42.12,24.71,44.85,21.63,3.73,30.09,41.53,23.23,65.34,21.17,3.81,27.86,35.34,22.11,73.14,21.06,5.08,26.63,37.53,21.56,76.87,19.04,4.27,26.34,32.07,21.22,80.7,18.21,5.63,26.2,32.37,21.59,82.07,20.62,0.44,28.51,38.59,19.44,63.23,22.17,0.38,27.76,38.53,16.2,44.08,19.98,0.0,26.16,37.93,15.75,24.29,20.23,24.27,27.930000000000003,42.96,15.51,51.57333333333332,20.340833333333332,0.008123409960485486
Alibori,2005,0.0,24.13,38.61,12.88,20.86,17.93,0.01,30.57,41.73,18.59,21.61,19.62,0.19,32.94,42.54,21.14,28.66,20.18,0.48,33.96,43.26,23.87,37.75,21.81,2.04,31.22,41.6,24.27,55.84,21.7,4.47,28.56,37.5,22.26,70.59,20.65,6.96,26.7,35.07,21.47,79.37,19.43,5.81,26.18,31.98,21.88,83.28,18.43,5.22,26.99,34.99,21.41,79.78,20.95,1.31,27.55,36.97,18.15,66.5,21.27,0.0,26.84,38.12,15.56,37.65,20.23,0.0,26.07,37.37,15.65,27.38,20.78,26.49,28.475833333333338,43.26,12.88,50.7725,20.24833333333333,0.008906970476065973
Alibori,2006,0.0,27.85,39.18,16.56,24.43,19.93,0.0,30.12,40.58,18.5,18.99,21.37,0.0,31.62,42.73,19.85,17.99,21.44,0.43,32.39,42.44,18.96,27.81,22.4,2.17,30.88,42.93,23.65,57.99,20.74,2.61,29.66,39.67,22.95,63.25,20.18,6.37,27.99,38.66,22.59,72.95,19.92,8.03,25.81,31.52,21.59,85.06,17.69,5.96,25.96,32.74,21.36,83.9,18.14,2.17,27.44,35.05,18.54,74.75,21.91,0.0,25.22,35.97,12.42,43.45,20.67,0.0,22.42,35.18,11.79,34.39,18.87,27.740000000000002,28.113333333333333,42.93,11.79,50.41333333333333,20.271666666666672,0.009316533212534102
Alibori,2007,0.0,21.81,37.88,11.37,27.43,17.74,0.03,27.11,39.48,15.03,18.79,21.25,0.11,30.51,42.62,16.5,20.13,21.15,1.03,32.29,42.7,23.47,50.13,20.59,3.04,30.5,39.17,24.49,64.05,20.56,4.67,27.88,35.66,22.65,73.95,21.3,5.7,26.99,33.67,21.83,76.59,18.68,10.39,25.5,30.62,21.01,85.35,19.55,4.23,26.34,33.66,21.53,82.33,20.12,0.62,27.12,35.11,21.17,73.66,21.5,0.03,26.63,36.59,17.21,51.65,19.96,0.0,24.49,36.62,12.31,37.53,18.84,29.85,27.264166666666664,42.7,11.37,55.1325,20.103333333333335,0.010109125726231464
Alibori,2008,0.0,22.13,35.2,10.03,26.73,19.97,0.0,25.36,38.84,14.59,19.35,19.74,0.06,30.89,42.51,18.78,23.19,22.48,0.74,32.17,43.0,19.66,32.52,21.77,1.01,32.14,42.58,24.34,49.17,21.32,4.13,30.05,40.96,21.64,60.89,21.93,3.98,26.83,34.85,21.7,76.15,18.43,7.33,25.99,33.13,21.71,81.37,18.29,6.31,26.05,32.3,21.02,83.5,19.0,1.46,26.95,36.15,18.87,69.81,20.74,0.0,26.44,37.98,15.95,41.35,21.1,0.03,25.67,37.54,15.33,34.44,20.14,25.05,27.55583333333333,43.0,10.03,49.8725,20.409166666666668,0.008356411038548775
Alibori,2009,0.0,26.43,38.03,14.14,25.88,19.74,0.01,29.29,40.2,18.27,25.52,19.57,0.09,31.54,42.24,20.22,23.89,20.4,0.59,32.85,41.72,23.94,44.09,22.95,1.22,31.78,41.81,24.28,53.07,21.58,4.64,29.42,41.73,22.12,65.0,20.46,5.36,27.04,33.82,21.74,77.6,19.94,8.25,25.99,31.15,21.92,84.19,18.05,5.28,26.2,32.64,20.64,84.16,19.24,2.66,27.06,34.86,22.02,77.96,20.76,0.12,25.63,36.42,14.09,55.04,20.25,0.01,24.66,36.51,11.96,37.13,20.98,28.23,28.1575,42.24,11.96,54.46083333333333,20.326666666666664,0.009455446658820959
Alibori,2010,0.0,25.03,39.46,12.05,24.74,22.1,0.0,29.75,42.65,15.0,24.21,22.49,0.07,30.92,41.54,17.33,25.05,20.09,0.7,32.9,44.35,20.82,42.96,20.28,3.68,30.24,38.98,24.51,66.94,20.71,4.9,28.3,36.24,23.13,73.78,20.31,4.56,26.57,33.51,21.91,79.28,18.34,8.66,25.85,31.71,21.4,85.28,17.27,6.23,25.73,32.71,20.92,84.64,19.45,3.47,26.56,33.53,21.57,81.4,20.12,0.07,26.79,35.49,17.03,59.62,20.01,0.0,23.58,35.05,11.24,40.98,20.84,32.34,27.685000000000002,44.35,11.24,57.40666666666666,20.1675,0.010917552426532369
Alibori,2011,0.0,23.04,37.53,11.59,34.67,20.18,0.15,29.05,39.94,18.55,36.28,19.46,0.06,31.3,41.4,20.5,36.57,22.55,0.59,32.15,43.12,21.04,38.22,22.39,2.53,30.34,39.61,22.8,62.81,21.33,2.01,29.1,39.63,22.21,66.51,20.15,5.19,27.44,37.75,21.52,74.5,19.92,6.9,25.99,31.87,20.02,81.98,18.32,4.59,26.65,33.5,20.64,78.73,19.41,1.67,27.94,38.13,19.16,67.38,20.91,0.0,26.96,38.11,14.2,34.94,22.1,0.0,23.63,35.65,13.09,25.09,19.9,23.69,27.799166666666665,43.12,11.59,53.14000000000001,20.551666666666666,0.007847934134862825
Alibori,2012,0.0,24.97,37.86,13.65,22.49,20.39,0.13,29.03,39.69,17.03,23.17,19.77,0.03,30.26,40.97,19.37,18.96,21.29,0.88,32.33,43.19,23.15,46.21,21.89,3.68,29.34,42.98,22.73,66.17,20.12,4.35,28.05,36.28,21.37,71.27,19.74,6.4,26.23,31.89,21.72,80.91,17.64,8.93,25.6,31.2,20.59,84.14,17.24,4.81,25.83,32.17,20.01,84.11,20.4,1.43,27.3,34.88,21.26,75.79,21.2,0.07,27.43,37.14,16.88,55.15,20.88,0.0,24.22,37.14,11.68,41.57,20.17,30.71,27.549166666666665,43.19,11.68,55.82833333333334,20.06083333333333,0.010422410701219523
