commune,annee,rendement_kg_ha,rendement_t_ha,precip_01_mm,temp_moy_01_c,temp_max_01_c,temp_min_01_c,humidite_01_pct,rayonnement_01,precip_02_mm,temp_moy_02_c,temp_max_02_c,temp_min_02_c,humidite_02_pct,rayonnement_02,precip_03_mm,temp_moy_03_c,temp_max_03_c,temp_min_03_c,humidite_03_pct,rayonnement_03,precip_04_mm,temp_moy_04_c,temp_max_04_c,temp_min_04_c,humidite_04_pct,rayonnement_04,precip_05_mm,temp_moy_05_c,temp_max_05_c,temp_min_05_c,humidite_05_pct,rayonnement_05,precip_06_mm,temp_moy_06_c,temp_max_06_c,temp_min_06_c,humidite_06_pct,rayonnement_06,precip_07_mm,temp_moy_07_c,temp_max_07_c,temp_min_07_c,humidite_07_pct,rayonnement_07,precip_08_mm,temp_moy_08_c,temp_max_08_c,temp_min_08_c,humidite_08_pct,rayonnement_08,precip_09_mm,temp_moy_09_c,temp_max_09_c,temp_min_09_c,humidite_09_pct,rayonnement_09,precip_10_mm,temp_moy_10_c,temp_max_10_c,temp_min_10_c,humidite_10_pct,rayonnement_10,precip_11_mm,temp_moy_11_c,temp_max_11_c,temp_min_11_c,humidite_11_pct,rayonnement_11,precip_12_mm,temp_moy_12_c,temp_max_12_c,temp_min_12_c,humidite_12_pct,rayonnement_12,precip_annuelle_mm,temp_moy_annuelle_c,temp_max_annuelle_c,temp_min_annuelle_c,humidite_moy_annuelle_pct,rayonnement_moyen_annuel,indice_stress_hydrique,type_sol,departement,precip_saison1_mm,precip_saison2_mm,precip_croissance_mm,amplitude_01_c,amplitude_02_c,amplitude_03_c,amplitude_04_c,amplitude_05_c,amplitude_06_c,amplitude_07_c,amplitude_08_c,amplitude_09_c,amplitude_10_c,amplitude_11_c,amplitude_12_c,amplitude_annuelle_c,stress_thermique_01,stress_thermique_02,stress_thermique_03,stress_thermique_04,stress_thermique_05,stress_thermique_06,stress_thermique_07,stress_thermique_08,stress_thermique_09,stress_thermique_10,stress_thermique_11,stress_thermique_12,nb_mois_stress_thermique,annee_normalisee,departement_encode,type_sol_encode
Boukoumbe,2003,1019.38775510204,1.01938775510204,7.75,25.46,37.27,13.95,31.79,20.01,4.2,29.65,40.55,18.97,32.84,20.96,14.26,29.86,41.77,20.29,31.38,21.31,98.7,29.05,41.31,20.85,64.97,22.03,137.95000000000002,28.58,39.06,22.41,68.87,22.49,221.1,25.55,32.58,19.82,82.3,19.44,223.51,24.8,30.59,20.28,84.62,17.73,351.84999999999997,24.52,31.02,20.41,87.06,16.77,233.7,24.77,31.13,20.34,85.32,19.0,116.87,25.89,32.85,20.61,82.53,21.7,20.400000000000002,24.97,32.49,15.22,71.16,20.02,0.0,22.78,32.3,12.85,54.35,20.09,1430.29,26.323333333333334,41.77,12.85,64.76583333333332,20.129166666666666,0.48376633479583786,Ferrugineux tropical,Atacora,695.52,370.96999999999997,1284.98,23.320000000000004,21.58,21.480000000000004,20.46,16.650000000000002,12.759999999999998,10.309999999999999,10.61,10.79,12.240000000000002,17.270000000000003,19.449999999999996,16.41,1,1,1,1,1,0,0,0,0,0,0,0,5,0.0,1,2
Cobli,2003,1622.16884008236,1.62216884008236,1.55,25.46,37.66,13.12,29.41,19.72,4.48,30.26,41.24,17.62,30.62,20.73,14.26,30.8,42.45,21.11,27.11,21.8,89.4,30.34,42.55,20.78,60.93,22.44,146.01,30.2,40.25,23.27,64.11,23.31,244.8,26.74,33.21,20.68,80.84,19.86,187.24,25.99,31.44,20.75,83.02,18.85,359.90999999999997,25.68,31.75,21.41,85.82,17.52,222.89999999999998,25.9,32.14,21.51,84.22,19.58,129.27,27.0,33.82,21.5,81.88,21.7,24.0,26.15,33.51,15.71,69.62,20.08,0.0,23.57,33.21,12.44,51.26,20.01,1423.8200000000002,27.340833333333332,42.55,12.44,62.403333333333336,20.466666666666665,0.4736366587894659,Ferrugineux tropical,Atacora,681.71,376.16999999999996,1290.1299999999999,24.54,23.62,21.340000000000003,21.769999999999996,16.98,12.530000000000001,10.690000000000001,10.34,10.629999999999999,12.32,17.799999999999997,20.770000000000003,16.944166666666668,1,1,1,1,1,0,0,0,0,0,0,0,5,0.0,1,2
Kerou,2003,1770.69047998724,1.77069047998724,0.31,25.14,37.3,12.27,21.11,19.86,2.8000000000000003,29.57,40.57,17.96,22.78,21.03,13.02,29.93,41.6,19.15,22.28,21.49,62.699999999999996,30.7,42.28,20.27,54.83,22.05,113.77,30.33,41.7,21.53,58.21,22.43,184.5,26.54,34.2,20.87,78.02,20.11,158.41,25.77,32.25,20.58,80.56,18.16,298.53000000000003,25.25,31.64,21.13,84.69,16.93,182.4,25.22,32.1,20.41,83.56,19.63,108.5,26.59,34.14,20.93,78.14,21.47,18.3,25.57,34.32,15.8,62.5,20.43,0.0,23.45,34.55,12.12,42.51,20.14,1143.24,27.004999999999995,42.28,12.12,57.432500000000005,20.31083333333333,0.38321897503103325,Ferrugineux tropical,Atacora,532.4,309.2,1046.1100000000001,25.029999999999998,22.61,22.450000000000003,22.01,20.17,13.330000000000002,11.670000000000002,10.510000000000002,11.690000000000001,13.21,18.52,22.43,17.802500000000006,1,1,1,1,1,0,0,0,0,0,0,0,5,0.0,1,2
Kouande,2003,1343.69668246446,1.34369668246446,0.62,24.85,36.76,12.7,26.0,20.01,2.8000000000000003,29.24,40.07,18.08,27.78,20.96,13.950000000000001,29.43,41.09,19.03,26.59,21.31,74.10000000000001,29.6,41.37,19.52,60.14,22.03,135.47,29.09,40.59,22.04,64.36,22.49,210.9,25.6,32.59,20.27,81.42,19.44,172.04999999999998,24.97,31.09,20.17,82.92,17.73,347.82,24.55,30.97,20.38,86.31,16.77,213.6,24.75,31.46,20.32,84.16,19.0,124.61999999999999,25.91,32.96,20.39,80.55,21.7,20.1,24.85,32.57,15.84,66.9,20.02,0.0,22.64,32.66,12.07,49.35,20.09,1316.0299999999997,26.290000000000003,41.37,12.07,61.37333333333333,20.129166666666666,0.4451202270737867,Ferrugineux tropical,Atacora,606.47,358.32,1204.4599999999998,24.06,21.990000000000002,22.060000000000002,21.849999999999998,18.550000000000004,12.320000000000004,10.919999999999998,10.59,11.14,12.57,16.73,20.589999999999996,16.9475,1,1,1,1,1,0,0,0,0,0,0,0,5,0.0,1,2
Materi,2003,990.80622347949,0.99080622347949,0.62,25.94,38.2,12.9,20.68,20.01,3.9200000000000004,30.43,41.47,18.57,22.86,20.96,13.64,30.79,42.63,20.64,21.62,21.31,71.39999999999999,31.07,42.87,20.98,55.04,22.03,128.34,30.67,41.64,22.31,59.35,22.49,200.70000000000002,26.98,34.29,21.17,78.53,19.44,169.88000000000002,26.24,32.61,20.74,80.78,17.73,326.12,25.78,32.24,21.46,84.58,16.77,180.29999999999998,25.95,32.35,21.25,82.61,19.0,110.67,27.4,34.82,21.5,77.3,21.7,21.599999999999998,26.61,35.38,16.69,60.88,20.02,0.0,24.35,35.47,13.02,39.67,20.09,1227.19,27.684166666666666,42.87,12.9,56.99166666666667,20.129166666666666,0.4150719143656911,Ferrugineux tropical,Atacora,583.96,312.57,1116.01,25.300000000000004,22.9,21.990000000000002,21.889999999999997,19.330000000000002,13.119999999999997,11.870000000000001,10.780000000000001,11.100000000000001,13.32,18.69,22.45,17.72833333333333,1,1,1,1,1,0,0,0,0,0,1,1,7,0.0,1,2
Natitingou,2003,1391.14754098361,1.39114754098361,7.75,25.46,37.27,13.95,31.79,20.01,4.2,29.65,40.55,18.97,32.84,20.96,14.26,29.86,41.77,20.29,31.38,21.31,98.7,29.05,41.31,20.85,64.97,22.03,137.95000000000002,28.58,39.06,22.41,68.87,22.49,221.1,25.55,32.58,19.82,82.3,19.44,223.51,24.8,30.59,20.28,84.62,17.73,351.84999999999997,24.52,31.02,20.41,87.06,16.77,233.7,24.77,31.13,20.34,85.32,19.0,116.87,25.89,32.85,20.61,82.53,21.7,20.400000000000002,24.97,32.49,15.22,71.16,20.02,0.0,22.78,32.3,12.85,54.35,20.09,1430.29,26.323333333333334,41.77,12.85,64.76583333333332,20.129166666666666,0.48376633479583786,Ferrugineux tropical,Atacora,695.52,370.96999999999997,1284.98,23.320000000000004,21.58,21.480000000000004,20.46,16.650000000000002,12.759999999999998,10.309999999999999,10.61,10.79,12.240000000000002,17.270000000000003,19.449999999999996,16.41,1,1,1,1,1,0,0,0,0,0,0,0,5,0.0,1,2
Pehunco,2003,62.9547611515343,0.0629547611515343,0.62,24.85,36.76,12.7,26.0,19.86,2.8000000000000003,29.24,40.07,18.08,27.78,21.03,13.950000000000001,29.43,41.09,19.03,26.59,21.49,74.10000000000001,29.6,41.37,19.52,60.14,22.05,135.47,29.09,40.59,22.04,64.36,22.43,210.9,25.6,32.59,20.27,81.42,20.11,172.04999999999998,24.97,31.09,20.17,82.92,18.16,347.82,24.55,30.97,20.38,86.31,16.93,213.6,24.75,31.46,20.32,84.16,19.63,124.61999999999999,25.91,32.96,20.39,80.55,21.47,20.1,24.85,32.57,15.84,66.9,20.43,0.0,22.64,32.66,12.07,49.35,20.14,1316.0299999999997,26.290000000000003,41.37,12.07,61.37333333333333,20.31083333333333,0.4411389277055479,Ferrugineux tropical,Atacora,606.47,358.32,1204.4599999999998,24.06,21.990000000000002,22.060000000000002,21.849999999999998,18.550000000000004,12.320000000000004,10.919999999999998,10.59,11.14,12.57,16.73,20.589999999999996,16.9475,1,1,1,1,1,0,0,0,0,0,0,0,5,0.0,1,2
Tanguieta,2003,1752.7972027972,1.7527972027972,0.62,25.94,38.2,12.9,20.68,20.34,3.9200000000000004,30.43,41.47,18.57,22.86,21.44,13.64,30.79,42.63,20.64,21.62,22.23,71.39999999999999,31.07,42.87,20.98,55.04,22.85,128.34,30.67,41.64,22.31,59.35,23.23,200.70000000000002,26.98,34.29,21.17,78.53,19.88,169.88000000000002,26.24,32.61,20.74,80.78,19.18,326.12,25.78,32.24,21.46,84.58,17.56,180.29999999999998,25.95,32.35,21.25,82.61,20.75,110.67,27.4,34.82,21.5,77.3,21.94,21.599999999999998,26.61,35.38,16.69,60.88,20.46,0.0,24.35,35.47,13.02,39.67,20.45,1227.19,27.684166666666666,42.87,12.9,56.99166666666667,20.859166666666667,0.4005458068596248,Ferrugineux tropical,Atacora,583.96,312.57,1116.01,25.300000000000004,22.9,21.990000000000002,21.889999999999997,19.330000000000002,13.119999999999997,11.870000000000001,10.780000000000001,11.100000000000001,13.32,18.69,22.45,17.72833333333333,1,1,1,1,1,0,0,0,0,0,1,1,7,0.0,1,2
Toukountouna,2003,1387.27272727273,1.3872727272727299,0.9299999999999999,24.85,36.77,12.86,28.64,20.01,4.2,29.35,40.55,18.15,30.06,20.96,15.81,29.76,41.46,19.79,27.31,21.31,86.7,29.34,41.48,20.28,62.3,22.03,150.66,28.98,39.78,22.06,66.33,22.49,238.8,25.64,32.83,20.07,82.54,19.44,188.79,24.93,30.63,20.22,84.5,17.73,367.04,24.64,31.44,20.43,87.07,16.77,208.8,24.87,31.21,20.43,84.95,19.0,124.0,26.05,32.81,20.64,81.72,21.7,23.1,24.9,32.57,15.43,69.99,20.02,0.0,22.68,32.5,12.24,51.68,20.09,1408.83,26.3325,41.48,12.24,63.09083333333334,20.129166666666666,0.47650792877697545,Ferrugineux tropical,Atacora,680.76,355.90000000000003,1278.09,23.910000000000004,22.4,21.67,21.199999999999996,17.720000000000002,12.759999999999998,10.41,11.010000000000002,10.780000000000001,12.170000000000002,17.14,20.259999999999998,16.785833333333333,1,1,1,1,1,0,0,0,0,0,0,0,5,0.0,1,2
Banikoara,2003,1468.04235257748,1.46804235257748,0.0,25.23,37.57,12.68,18.26,20.36,1.4000000000000001,29.6,40.57,17.44,18.33,21.42,12.709999999999999,30.27,41.65,19.15,19.12,22.11,41.699999999999996,32.2,43.35,20.35,47.12,22.63,88.97,31.38,42.4,21.03,53.05,22.82,150.0,27.25,35.76,21.85,75.97,19.95,146.32,26.36,33.16,21.05,79.37,19.21,279.62,25.74,32.24,20.97,84.27,17.09,135.0,25.76,32.63,21.1,82.52,20.36,69.44000000000001,27.47,37.09,20.51,73.51,21.62,9.0,26.9,36.99,15.66,51.66,20.52,0.0,24.53,36.83,12.92,31.77,20.4,934.1600000000001,27.72416666666666,43.35,12.68,52.9125,20.7075,0.307136148086074,Ferrugineux tropical,Alibori,439.7,213.44,869.35,24.89,23.13,22.5,23.0,21.369999999999997,13.909999999999997,12.109999999999996,11.270000000000003,11.530000000000001,16.580000000000002,21.330000000000002,23.909999999999997,18.79416666666667,1,1,1,1,1,1,0,0,0,1,1,1,9,0.0,0,2
