departement,annee,rendement_kg_ha,rendement_t_ha,precip_01_mm,temp_moy_01_c,temp_max_01_c,temp_min_01_c,humidite_01_pct,rayonnement_01,precip_02_mm,temp_moy_02_c,temp_max_02_c,temp_min_02_c,humidite_02_pct,rayonnement_02,precip_03_mm,temp_moy_03_c,temp_max_03_c,temp_min_03_c,humidite_03_pct,rayonnement_03,precip_04_mm,temp_moy_04_c,temp_max_04_c,temp_min_04_c,humidite_04_pct,rayonnement_04,precip_05_mm,temp_moy_05_c,temp_max_05_c,temp_min_05_c,humidite_05_pct,rayonnement_05,precip_06_mm,temp_moy_06_c,temp_max_06_c,temp_min_06_c,humidite_06_pct,rayonnement_06,precip_07_mm,temp_moy_07_c,temp_max_07_c,temp_min_07_c,humidite_07_pct,rayonnement_07,precip_08_mm,temp_moy_08_c,temp_max_08_c,temp_min_08_c,humidite_08_pct,rayonnement_08,precip_09_mm,temp_moy_09_c,temp_max_09_c,temp_min_09_c,humidite_09_pct,rayonnement_09,precip_10_mm,temp_moy_10_c,temp_max_10_c,temp_min_10_c,humidite_10_pct,rayonnement_10,precip_11_mm,temp_moy_11_c,temp_max_11_c,temp_min_11_c,humidite_11_pct,rayonnement_11,precip_12_mm,temp_moy_12_c,temp_max_12_c,temp_min_12_c,humidite_12_pct,rayonnement_12,precip_annuelle_mm,temp_moy_annuelle_c,temp_max_annuelle_c,temp_min_annuelle_c,humidite_moy_annuelle_pct,rayonnement_moyen_annuel,indice_stress_hydrique
Atacora,2003,1199.80383106393,1.1998038310639298,0.9299999999999999,24.85,36.77,12.86,28.64,20.01,4.2,29.35,40.55,18.15,30.06,20.96,15.81,29.76,41.46,19.79,27.31,21.31,86.7,29.34,41.48,20.28,62.3,22.03,150.66,28.98,39.78,22.06,66.33,22.49,238.8,25.64,32.83,20.07,82.54,19.44,188.79,24.93,30.63,20.22,84.5,17.73,367.04,24.64,31.44,20.43,87.07,16.77,208.8,24.87,31.21,20.43,84.95,19.0,124.0,26.05,32.81,20.64,81.72,21.7,23.1,24.9,32.57,15.43,69.99,20.02,0.0,22.68,32.5,12.24,51.68,20.09,1408.83,26.3325,41.48,12.24,63.09083333333334,20.129166666666663,0.4765079287769756
Alibori,2003,1467.59755000642,1.46759755000642,0.0,24.96,37.92,12.24,21.06,20.62,0.56,29.6,40.49,16.67,18.91,21.52,14.569999999999999,30.27,41.49,19.02,20.16,21.89,35.4,32.78,44.05,19.78,45.17,22.49,85.25,31.8,42.84,21.03,51.57,23.11,142.79999999999998,27.7,36.36,22.27,74.22,20.51,147.56,26.68,33.67,21.66,78.3,19.8,305.34999999999997,25.95,32.4,21.21,84.02,17.54,119.7,26.06,33.21,21.32,81.94,19.8,50.529999999999994,27.88,37.45,21.03,71.25,22.02,4.8,27.19,37.55,15.03,48.64,20.83,0.0,24.37,36.7,12.28,33.54,20.34,906.52,27.936666666666667,44.05,12.24,52.39833333333333,20.8725,0.29569246418041273
Atlantique,2003,1000.41651914947,1.00041651914947,44.949999999999996,27.05,32.45,20.2,77.41,17.08,24.92,28.21,33.09,25.12,81.23,18.44,20.77,28.34,32.94,25.55,80.44,17.34,231.9,27.42,31.62,24.29,86.3,18.28,103.23,27.21,30.4,24.96,86.69,17.6,231.0,25.63,28.82,22.79,89.08,14.38,146.63000000000002,24.59,27.74,22.03,88.97,17.1,62.62,24.82,28.38,22.01,86.86,16.66,230.1,25.4,29.67,23.01,89.0,16.7,174.84,26.27,29.96,24.34,89.23,17.59,45.6,26.79,30.68,23.97,85.7,17.92,11.47,26.57,30.68,20.95,78.56,18.18,1328.0299999999997,26.524999999999995,33.09,20.2,84.95583333333333,17.2725,0.5234678583805468
Borgou,2003,1264.76250557435,1.26476250557435,1.8599999999999999,25.09,37.22,12.35,33.64,19.86,5.04,29.12,39.49,17.78,33.13,21.03,10.540000000000001,29.74,41.34,18.95,31.9,21.49,78.89999999999999,28.97,41.19,19.58,65.57,22.05,114.08,28.74,40.56,22.21,67.21,22.43,164.70000000000002,25.71,33.03,20.51,81.56,20.11,172.35999999999999,24.94,30.81,20.33,83.55,18.16,330.15000000000003,24.53,30.92,20.11,86.59,16.93,193.5,24.87,31.01,20.46,85.03,19.63,74.39999999999999,25.84,33.35,20.06,81.41,21.47,13.5,25.21,33.33,16.81,65.62,20.43,0.0,23.4,33.99,12.67,48.75,20.14,1159.0300000000002,26.346666666666664,41.34,12.35,63.66333333333333,20.31083333333333,0.388511851081329
Collines,2003,933.707043626615,0.933707043626615,29.139999999999997,25.72,36.12,13.25,58.89,18.97,14.56,28.24,38.81,18.59,61.37,20.17,19.84,28.89,40.38,20.13,59.58,20.05,138.0,27.5,38.84,22.24,78.67,20.42,116.87,27.25,35.93,22.15,79.61,20.49,243.0,25.18,30.2,20.88,87.15,17.03,239.63000000000002,24.63,29.68,20.05,87.62,15.4,308.45,24.41,30.27,19.61,88.49,14.3,309.9,24.96,30.55,21.03,87.8,16.22,145.07999999999998,25.58,32.31,21.26,87.46,19.06,25.8,25.51,31.85,15.96,78.54,19.42,0.62,24.09,32.24,14.01,65.07,19.3,1590.8899999999996,25.99666666666666,40.38,13.25,76.6875,18.4025,0.5885734420260578
Donga,2003,1585.40559080775,1.58540559080775,17.360000000000003,25.62,37.41,13.75,39.34,19.23,7.0,29.23,39.73,18.17,39.41,20.36,12.4,29.63,41.48,20.01,38.1,20.58,105.3,28.59,40.95,20.99,68.0,20.9,99.82000000000001,28.23,38.42,22.24,70.35,21.3,201.6,25.29,32.09,19.54,83.13,18.05,248.31,24.65,30.92,19.89,84.7,16.64,321.78000000000003,24.38,30.45,20.24,87.11,15.52,267.3,24.52,30.51,20.18,86.48,17.86,111.28999999999999,25.64,32.46,20.18,83.38,20.74,17.4,25.12,31.9,16.08,71.29,19.88,0.31,22.8,31.81,12.82,57.24,19.6,1409.87,26.141666666666666,41.48,12.82,67.3775,19.221666666666668,0.4993733526243816
Couffo,2003,970.364046588205,0.9703640465882052,26.349999999999998,26.62,35.12,15.69,71.96,18.06,15.120000000000001,28.53,36.9,23.15,74.18,18.92,24.18,28.75,37.74,23.86,73.9,18.99,120.3,27.61,36.23,22.99,81.68,19.23,93.0,27.19,34.42,23.07,82.86,20.09,246.3,25.25,30.56,20.93,88.98,16.86,249.23999999999998,24.64,29.65,20.28,87.74,16.29,140.11999999999998,24.54,30.17,19.77,87.44,15.34,220.2,25.09,30.91,21.23,88.95,16.56,136.71,25.69,31.9,22.14,90.32,19.78,33.0,26.06,31.77,19.74,86.37,19.26,17.05,25.2,31.77,16.64,75.95,18.55,1321.57,26.264166666666664,37.74,15.69,82.52749999999999,18.160833333333333,0.4954407618444371
Mono,2003,896.366451142885,0.896366451142885,22.94,27.23,33.39,18.63,76.54,17.42,17.92,28.56,35.27,24.89,78.77,18.9,25.419999999999998,28.73,35.09,25.27,77.78,17.64,138.0,27.81,33.5,24.15,83.44,18.7,92.07000000000001,27.44,31.92,24.86,84.68,19.01,273.29999999999995,25.55,29.11,22.18,89.28,15.46,199.32999999999998,24.55,28.07,21.5,89.08,17.57,78.12,24.6,28.78,21.26,88.01,16.61,189.60000000000002,25.34,30.09,22.34,89.08,17.04,148.18,26.16,30.57,23.6,89.9,18.91,37.5,26.66,31.04,23.66,86.41,18.8,20.77,26.24,30.83,19.16,79.27,18.22,1243.15,26.5725,35.27,18.63,84.35333333333334,17.856666666666666,0.4739805044038648
Ouémé,2003,683.831217326365,0.6838312173263651,44.949999999999996,27.05,32.45,20.2,77.41,17.08,24.92,28.21,33.09,25.12,81.23,18.44,20.77,28.34,32.94,25.55,80.44,17.34,231.9,27.42,31.62,24.29,86.3,18.28,103.23,27.21,30.4,24.96,86.69,17.6,231.0,25.63,28.82,22.79,89.08,14.38,146.63000000000002,24.59,27.74,22.03,88.97,17.1,62.62,24.82,28.38,22.01,86.86,16.66,230.1,25.4,29.67,23.01,89.0,16.7,174.84,26.27,29.96,24.34,89.23,17.59,45.6,26.79,30.68,23.97,85.7,17.92,11.47,26.57,30.68,20.95,78.56,18.18,1328.0299999999997,26.524999999999995,33.09,20.2,84.95583333333333,17.2725,0.5234678583805468
Zou,2003,493.413660842277,0.493413660842277,46.81,25.96,34.24,15.23,71.25,17.73,19.599999999999998,27.76,35.61,20.6,75.82,18.79,25.419999999999998,28.13,37.37,22.71,75.33,18.23,173.7,27.15,35.5,22.46,84.27,18.92,126.17000000000002,26.75,33.06,22.54,85.79,19.57,241.8,25.33,30.45,21.04,88.96,16.26,229.71,24.67,29.96,20.36,88.24,15.74,193.75,24.66,30.27,19.78,87.62,14.42,283.8,25.18,31.03,21.26,88.93,16.44,156.24,25.72,31.88,22.34,89.77,19.08,37.5,25.97,31.9,18.43,84.94,18.88,5.58,25.0,31.85,15.71,72.81,18.19,1540.08,26.023333333333337,37.37,15.23,82.81083333333333,17.6875,0.5928081479941799
