Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","204","Bénin","5312","Superficie récoltée","0112","Maïs","1961","1961","ha","375650","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5412","Rendement","0112","Maïs","1961","1961","kg/ha","584.6","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5510","Production","0112","Maïs","1961","1961","tonnes","219593","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5312","Superficie récoltée","0112","Maïs","1962","1962","ha","450000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","204","Bénin","5412","Rendement","0112","Maïs","1962","1962","kg/ha","494.4","E","Valeur estimée",""
"QCL","Cultures et produits animaux","204","Bénin","5510","Production","0112","Maïs","1962","1962","tonnes","222470","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5312","Superficie récoltée","0112","Maïs","1963","1963","ha","413504","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5412","Rendement","0112","Maïs","1963","1963","kg/ha","495.6","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5510","Production","0112","Maïs","1963","1963","tonnes","204922","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5312","Superficie récoltée","0112","Maïs","1964","1964","ha","419260","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5412","Rendement","0112","Maïs","1964","1964","kg/ha","544.7","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5510","Production","0112","Maïs","1964","1964","tonnes","228378","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5312","Superficie récoltée","0112","Maïs","1965","1965","ha","383664","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5412","Rendement","0112","Maïs","1965","1965","kg/ha","570.2","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5510","Production","0112","Maïs","1965","1965","tonnes","218783","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5312","Superficie récoltée","0112","Maïs","1966","1966","ha","369508","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5412","Rendement","0112","Maïs","1966","1966","kg/ha","551.7","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5510","Production","0112","Maïs","1966","1966","tonnes","203864","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5312","Superficie récoltée","0112","Maïs","1967","1967","ha","405695","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5412","Rendement","0112","Maïs","1967","1967","kg/ha","604.9","A","Chiffre officiel",""
