-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  10.65   Longitude 1.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 344.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,20.01,20.96,21.31,22.03,22.49,19.44,17.73,16.77,19.0,21.7,20.02,20.09,20.12
ALLSKY_SFC_SW_DWN,2004,19.96,19.54,20.31,20.74,19.3,19.32,18.25,17.48,18.51,21.13,19.49,19.8,19.49
ALLSKY_SFC_SW_DWN,2005,17.78,18.42,20.15,21.01,21.42,19.79,17.94,16.42,18.87,20.18,20.01,20.34,19.36
ALLSKY_SFC_SW_DWN,2006,19.55,20.53,20.4,21.9,19.66,19.23,17.78,16.85,17.63,20.06,20.51,18.78,19.39
ALLSKY_SFC_SW_DWN,2007,17.95,20.68,20.82,20.41,20.19,20.32,17.14,17.07,19.04,20.1,19.61,18.42,19.3
ALLSKY_SFC_SW_DWN,2008,20.09,19.62,21.57,21.32,20.8,19.54,17.31,16.65,17.35,20.29,20.73,19.52,19.56
ALLSKY_SFC_SW_DWN,2009,19.41,19.32,20.29,21.58,21.44,19.73,17.74,17.39,18.65,19.46,19.82,20.33,19.6
ALLSKY_SFC_SW_DWN,2010,21.33,21.69,19.79,20.02,20.51,19.33,16.24,16.61,17.15,18.8,19.56,20.32,19.26
ALLSKY_SFC_SW_DWN,2011,19.58,19.76,21.86,21.58,20.6,19.55,18.62,17.08,17.37,19.75,21.75,19.85,19.78
ALLSKY_SFC_SW_DWN,2012,20.05,19.64,20.45,21.0,20.06,19.07,17.2,16.42,17.72,20.08,20.44,19.28,19.28
ALLSKY_SFC_SW_DWN,2013,19.8,20.34,20.94,21.13,21.47,19.38,17.95,15.89,18.04,20.76,20.88,19.68,19.68
ALLSKY_SFC_SW_DWN,2014,19.21,20.71,21.75,20.62,20.12,20.12,18.22,16.64,17.46,20.13,20.44,19.83,19.59
ALLSKY_SFC_SW_DWN,2015,19.85,20.99,20.04,21.54,21.14,20.06,17.92,15.76,18.08,19.98,20.72,18.09,19.5
ALLSKY_SFC_SW_DWN,2016,18.78,19.16,20.75,22.48,21.02,18.57,17.23,16.88,18.13,20.68,19.93,18.89,19.37
ALLSKY_SFC_SW_DWN,2017,20.02,20.82,23.53,21.45,20.03,18.78,18.03,16.16,17.85,21.56,20.79,17.84,19.73
ALLSKY_SFC_SW_DWN,2018,19.11,20.6,21.77,21.29,20.92,18.16,16.35,16.49,18.01,19.4,21.01,19.71,19.39
ALLSKY_SFC_SW_DWN,2019,20.77,21.23,21.58,20.98,20.1,19.98,17.5,16.99,17.58,17.7,21.53,21.0,19.73
ALLSKY_SFC_SW_DWN,2020,19.4,20.9,21.19,21.25,20.91,18.44,17.69,16.61,17.18,20.42,21.02,20.66,19.63
ALLSKY_SFC_SW_DWN,2021,21.59,21.04,20.34,23.02,21.86,19.9,17.18,15.83,17.12,20.66,21.03,19.6,19.92
ALLSKY_SFC_SW_DWN,2022,20.34,21.62,19.4,20.85,19.96,19.77,17.59,16.09,15.67,20.38,20.92,19.38,19.31
PRECTOTCORR,2003,0.03,0.15,0.51,2.89,4.86,7.96,6.09,11.84,6.96,4.0,0.77,0.0,3.86
PRECTOTCORR,2004,0.44,0.04,0.09,3.16,4.38,6.1,9.93,6.93,6.89,2.2,1.71,0.0,3.5
PRECTOTCORR,2005,0.04,0.18,0.46,2.07,4.27,6.53,8.68,8.17,6.73,2.18,0.0,0.01,3.3
PRECTOTCORR,2006,0.02,0.17,0.09,1.32,4.14,3.39,8.26,10.06,8.53,2.96,0.01,0.0,3.27
PRECTOTCORR,2007,0.0,0.05,0.62,2.92,4.57,5.21,9.54,12.74,6.39,1.15,0.42,0.05,3.67
PRECTOTCORR,2008,0.0,0.0,0.29,1.98,2.16,5.39,7.83,11.76,7.29,2.32,0.01,0.06,3.27
PRECTOTCORR,2009,0.0,0.11,0.22,2.45,2.57,6.62,7.92,11.71,6.68,3.79,0.76,0.0,3.59
PRECTOTCORR,2010,0.0,0.05,0.12,2.35,5.23,6.2,6.83,9.87,8.47,4.51,0.22,0.0,3.68
PRECTOTCORR,2011,0.0,0.37,0.73,1.45,3.96,4.15,6.91,11.94,6.78,2.75,0.0,0.0,3.28
PRECTOTCORR,2012,0.0,0.73,0.12,2.14,5.47,6.29,8.41,10.04,6.72,4.59,0.32,0.01,3.75
PRECTOTCORR,2013,0.0,0.79,1.0,4.5,3.13,5.98,6.05,7.81,4.87,1.74,0.11,0.0,3.01
PRECTOTCORR,2014,0.11,0.02,0.51,3.53,3.01,4.92,5.17,7.99,8.32,2.23,0.29,0.0,3.02
PRECTOTCORR,2015,0.0,0.36,0.19,0.9,3.93,5.03,9.22,10.97,10.65,4.52,0.07,0.0,3.84
PRECTOTCORR,2016,0.0,0.07,1.18,4.47,5.69,8.18,8.61,10.44,10.4,2.22,0.01,0.0,4.28
PRECTOTCORR,2017,0.0,0.0,0.25,4.26,5.51,11.46,11.49,12.7,7.81,2.29,0.15,0.0,4.68
PRECTOTCORR,2018,0.0,0.19,0.88,2.51,6.46,6.81,12.83,8.28,8.57,3.14,0.0,0.0,4.17
PRECTOTCORR,2019,0.0,0.0,1.25,3.86,4.32,8.06,13.52,8.19,8.75,8.11,0.1,0.0,4.71
PRECTOTCORR,2020,0.0,0.0,0.28,3.27,4.26,9.24,8.72,7.87,12.23,6.17,0.08,0.0,4.35
PRECTOTCORR,2021,0.0,0.0,0.2,2.08,4.61,7.59,8.8,12.46,6.63,4.18,0.29,0.0,3.93
PRECTOTCORR,2022,0.16,0.0,0.23,5.14,5.63,8.27,7.47,13.21,14.55,3.61,0.04,0.0,4.88
RH2M,2003,28.64,30.06,27.31,62.3,66.33,82.54,84.5,87.07,84.95,81.72,69.99,51.68,63.23
RH2M,2004,44.55,37.76,34.65,68.4,76.9,81.63,85.16,87.02,85.96,81.95,72.0,48.1,67.06
RH2M,2005,40.93,43.14,53.64,63.27,74.49,82.63,85.75,87.15,83.92,79.1,60.3,43.69,66.63
