-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  8.3385   Longitude 1.8663 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 264.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,19.16,20.11,20.2,20.44,20.88,17.44,16.2,15.02,16.81,20.25,19.65,19.53,18.8
ALLSKY_SFC_SW_DWN,2004,18.97,18.94,19.51,20.44,18.32,17.66,16.23,15.57,18.27,19.78,19.49,18.68,18.48
ALLSKY_SFC_SW_DWN,2005,17.99,18.42,20.11,19.52,20.05,17.05,15.68,14.87,15.9,19.09,19.97,19.29,18.16
ALLSKY_SFC_SW_DWN,2006,18.4,19.85,19.73,20.78,19.44,18.18,16.2,14.25,15.81,18.48,19.97,18.28,18.26
ALLSKY_SFC_SW_DWN,2007,17.45,19.3,20.62,20.09,18.64,18.17,15.68,15.85,17.4,18.47,19.14,17.6,18.19
ALLSKY_SFC_SW_DWN,2008,19.6,18.08,20.28,19.8,19.94,18.52,16.33,15.14,15.61,19.56,19.71,18.54,18.43
ALLSKY_SFC_SW_DWN,2009,18.65,19.25,19.17,20.67,20.25,18.64,16.1,14.8,16.85,18.11,19.23,19.57,18.43
ALLSKY_SFC_SW_DWN,2010,19.61,20.8,18.69,19.87,18.85,17.82,15.76,15.19,16.46,17.91,18.91,19.76,18.28
ALLSKY_SFC_SW_DWN,2011,18.69,18.93,21.07,20.98,19.0,16.61,16.22,15.31,16.19,18.55,20.74,19.19,18.45
ALLSKY_SFC_SW_DWN,2012,18.64,18.52,19.3,20.11,19.26,17.49,14.77,15.17,16.04,18.68,20.0,18.77,18.06
ALLSKY_SFC_SW_DWN,2013,19.6,19.05,20.3,20.46,20.33,17.86,15.56,15.62,15.86,19.31,20.0,19.08,18.58
ALLSKY_SFC_SW_DWN,2014,18.42,19.07,20.86,20.62,19.53,18.6,15.87,14.07,16.72,18.89,19.0,19.0,18.38
ALLSKY_SFC_SW_DWN,2015,19.12,19.43,19.2,20.29,20.51,17.37,16.54,14.63,16.3,18.06,20.11,17.68,18.26
ALLSKY_SFC_SW_DWN,2016,18.03,18.5,20.55,21.16,19.42,17.19,15.31,15.07,16.9,19.55,19.82,18.07,18.29
ALLSKY_SFC_SW_DWN,2017,19.17,19.4,22.36,20.64,19.63,17.4,15.61,14.37,15.28,19.93,20.1,17.09,18.41
ALLSKY_SFC_SW_DWN,2018,18.02,18.99,21.01,20.08,19.5,18.08,15.38,15.88,16.56,19.32,19.92,18.92,18.47
ALLSKY_SFC_SW_DWN,2019,20.08,19.46,20.83,20.37,19.99,16.99,15.46,15.69,15.59,16.93,19.97,20.46,18.48
ALLSKY_SFC_SW_DWN,2020,19.02,19.58,20.13,21.36,21.14,17.4,14.13,16.25,14.36,19.22,20.41,19.96,18.58
ALLSKY_SFC_SW_DWN,2021,19.69,19.32,18.92,21.73,20.91,18.82,16.42,15.29,16.08,19.37,20.27,18.62,18.78
ALLSKY_SFC_SW_DWN,2022,19.74,20.06,19.46,19.38,19.11,17.8,16.02,14.77,14.69,18.77,20.6,19.59,18.32
PRECTOTCORR,2003,1.34,0.36,0.57,4.19,3.88,8.06,9.39,11.18,9.87,4.36,0.66,0.02,4.51
PRECTOTCORR,2004,1.5,0.27,0.53,4.85,4.15,6.1,9.56,6.55,6.68,4.01,2.71,0.23,3.94
PRECTOTCORR,2005,0.04,0.79,1.64,3.13,3.73,5.0,6.84,6.16,6.54,3.23,0.17,0.03,3.12
PRECTOTCORR,2006,1.0,0.29,1.09,1.91,4.97,4.4,6.02,7.67,8.7,3.71,0.17,0.02,3.35
PRECTOTCORR,2007,0.0,0.55,0.74,4.5,6.41,4.74,8.92,8.14,10.53,2.68,0.46,0.55,4.04
PRECTOTCORR,2008,0.03,0.23,1.28,1.87,3.21,7.39,10.34,5.94,8.61,3.27,0.1,0.96,3.61
PRECTOTCORR,2009,1.13,0.6,1.94,5.63,4.11,6.08,10.3,7.8,8.44,4.75,0.91,0.04,4.33
PRECTOTCORR,2010,0.03,0.61,1.78,4.14,4.58,4.93,6.21,7.89,11.96,6.03,0.61,0.07,4.08
PRECTOTCORR,2011,0.02,1.23,2.11,2.12,4.66,4.93,7.07,7.77,9.37,5.67,0.05,0.0,3.77
PRECTOTCORR,2012,0.25,1.71,0.65,3.59,6.61,7.55,7.16,6.39,8.0,5.07,0.55,0.11,3.97
PRECTOTCORR,2013,0.28,0.5,2.87,5.5,4.46,5.3,4.56,4.02,6.61,4.33,0.54,0.16,3.27
PRECTOTCORR,2014,1.27,0.39,2.08,3.71,4.68,4.53,5.01,8.42,9.54,4.86,0.57,0.0,3.77
PRECTOTCORR,2015,0.05,0.5,2.69,1.36,2.67,3.62,4.73,6.58,7.8,4.4,0.16,0.0,2.9
PRECTOTCORR,2016,0.0,0.23,2.26,4.31,4.03,5.88,8.23,8.05,9.4,3.02,0.05,0.16,3.81
PRECTOTCORR,2017,0.12,0.35,0.91,3.41,3.86,8.48,9.29,7.87,5.57,2.31,0.44,0.1,3.58
PRECTOTCORR,2018,0.0,0.97,1.68,4.07,3.17,5.8,6.69,11.05,9.84,4.36,0.23,0.0,4.0
PRECTOTCORR,2019,0.5,0.29,1.94,2.75,4.39,6.84,9.37,4.36,10.1,8.62,0.86,0.01,4.19
PRECTOTCORR,2020,0.0,1.09,1.77,3.63,6.83,6.56,9.68,2.96,7.82,11.29,0.05,0.01,4.32
PRECTOTCORR,2021,0.07,0.01,2.82,2.69,3.69,5.56,7.12,9.13,7.07,3.61,0.73,0.26,3.59
PRECTOTCORR,2022,0.77,0.1,1.74,4.51,3.48,7.77,5.55,16.09,9.41,6.54,0.18,0.02,4.71
RH2M,2003,58.65,60.15,57.83,75.62,77.02,86.79,86.93,88.51,88.61,87.7,78.16,64.4,75.92
RH2M,2004,58.95,63.16,63.86,80.63,84.59,85.98,87.3,88.25,87.52,86.94,82.23,69.11,78.23
RH2M,2005,57.18,69.75,75.47,77.9,83.08,86.16,86.5,86.75,86.03,85.17,72.42,59.95,77.22
RH2M,2006,61.33,58.1,66.04,65.73,82.83,84.36,85.7,88.1,87.96,86.35,66.77,53.64,74.01
RH2M,2007,49.23,57.36,58.62,80.87,85.39,85.96,87.33,88.4,87.67,88.21,80.69,66.49,76.43
RH2M,2008,55.27,56.98,70.99,70.74,79.26,84.35,87.34,88.5,88.22,85.12,72.81,70.51,75.91
RH2M,2009,64.36,73.94,70.01,82.49,83.09,85.47,87.06,87.83,88.47,87.57,76.35,64.69,79.28
