-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  8.9709   Longitude 1.8587 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 334.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,19.16,20.11,20.2,20.44,20.88,17.44,16.2,15.02,16.81,20.25,19.65,19.53,18.8
ALLSKY_SFC_SW_DWN,2004,18.97,18.94,19.51,20.44,18.32,17.66,16.23,15.57,18.27,19.78,19.49,18.68,18.48
ALLSKY_SFC_SW_DWN,2005,17.99,18.42,20.11,19.52,20.05,17.05,15.68,14.87,15.9,19.09,19.97,19.29,18.16
ALLSKY_SFC_SW_DWN,2006,18.4,19.85,19.73,20.78,19.44,18.18,16.2,14.25,15.81,18.48,19.97,18.28,18.26
ALLSKY_SFC_SW_DWN,2007,17.45,19.3,20.62,20.09,18.64,18.17,15.68,15.85,17.4,18.47,19.14,17.6,18.19
ALLSKY_SFC_SW_DWN,2008,19.6,18.08,20.28,19.8,19.94,18.52,16.33,15.14,15.61,19.56,19.71,18.54,18.43
ALLSKY_SFC_SW_DWN,2009,18.65,19.25,19.17,20.67,20.25,18.64,16.1,14.8,16.85,18.11,19.23,19.57,18.43
ALLSKY_SFC_SW_DWN,2010,19.61,20.8,18.69,19.87,18.85,17.82,15.76,15.19,16.46,17.91,18.91,19.76,18.28
ALLSKY_SFC_SW_DWN,2011,18.69,18.93,21.07,20.98,19.0,16.61,16.22,15.31,16.19,18.55,20.74,19.19,18.45
ALLSKY_SFC_SW_DWN,2012,18.64,18.52,19.3,20.11,19.26,17.49,14.77,15.17,16.04,18.68,20.0,18.77,18.06
ALLSKY_SFC_SW_DWN,2013,19.6,19.05,20.3,20.46,20.33,17.86,15.56,15.62,15.86,19.31,20.0,19.08,18.58
ALLSKY_SFC_SW_DWN,2014,18.42,19.07,20.86,20.62,19.53,18.6,15.87,14.07,16.72,18.89,19.0,19.0,18.38
ALLSKY_SFC_SW_DWN,2015,19.12,19.43,19.2,20.29,20.51,17.37,16.54,14.63,16.3,18.06,20.11,17.68,18.26
ALLSKY_SFC_SW_DWN,2016,18.03,18.5,20.55,21.16,19.42,17.19,15.31,15.07,16.9,19.55,19.82,18.07,18.29
ALLSKY_SFC_SW_DWN,2017,19.17,19.4,22.36,20.64,19.63,17.4,15.61,14.37,15.28,19.93,20.1,17.09,18.41
ALLSKY_SFC_SW_DWN,2018,18.02,18.99,21.01,20.08,19.5,18.08,15.38,15.88,16.56,19.32,19.92,18.92,18.47
ALLSKY_SFC_SW_DWN,2019,20.08,19.46,20.83,20.37,19.99,16.99,15.46,15.69,15.59,16.93,19.97,20.46,18.48
ALLSKY_SFC_SW_DWN,2020,19.02,19.58,20.13,21.36,21.14,17.4,14.13,16.25,14.36,19.22,20.41,19.96,18.58
ALLSKY_SFC_SW_DWN,2021,19.69,19.32,18.92,21.73,20.91,18.82,16.42,15.29,16.08,19.37,20.27,18.62,18.78
ALLSKY_SFC_SW_DWN,2022,19.74,20.06,19.46,19.38,19.11,17.8,16.02,14.77,14.69,18.77,20.6,19.59,18.32
PRECTOTCORR,2003,0.82,0.33,0.47,3.87,3.27,7.46,8.89,10.94,9.88,3.97,0.6,0.01,4.23
PRECTOTCORR,2004,0.93,0.24,0.42,4.55,3.76,5.17,7.84,5.7,5.51,3.46,2.26,0.1,3.33
PRECTOTCORR,2005,0.02,0.42,1.41,2.85,2.98,4.25,6.36,6.43,6.04,2.93,0.13,0.02,2.83
PRECTOTCORR,2006,0.56,0.19,0.93,1.88,4.39,3.93,5.48,7.97,8.08,3.58,0.16,0.01,3.12
PRECTOTCORR,2007,0.0,0.47,0.66,4.26,6.35,4.83,8.85,8.48,10.02,2.55,0.43,0.42,3.96
PRECTOTCORR,2008,0.0,0.16,1.02,1.97,2.9,6.0,9.66,6.25,8.45,3.15,0.06,0.78,3.38
PRECTOTCORR,2009,0.82,0.5,1.86,5.42,3.45,5.95,9.3,7.8,7.42,4.46,0.87,0.03,4.01
PRECTOTCORR,2010,0.02,0.53,1.65,3.75,4.31,4.45,6.27,7.91,11.88,5.66,0.57,0.03,3.93
PRECTOTCORR,2011,0.02,1.08,2.08,1.98,4.86,4.65,6.89,7.28,8.35,5.52,0.05,0.0,3.58
PRECTOTCORR,2012,0.14,1.54,0.6,3.27,6.32,7.14,7.69,6.9,8.02,5.05,0.5,0.08,3.94
PRECTOTCORR,2013,0.22,0.45,2.64,5.23,4.47,4.95,4.17,4.41,6.3,3.9,0.52,0.14,3.13
PRECTOTCORR,2014,1.0,0.32,1.89,3.67,4.54,4.18,4.4,7.78,8.8,4.62,0.48,0.0,3.49
PRECTOTCORR,2015,0.02,0.51,2.24,0.93,2.77,3.07,4.31,6.61,6.31,4.15,0.22,0.0,2.61
PRECTOTCORR,2016,0.0,0.16,2.16,4.35,3.61,5.71,7.71,8.18,8.2,2.22,0.03,0.08,3.54
PRECTOTCORR,2017,0.03,0.24,0.55,3.04,3.55,7.91,7.58,9.74,4.41,1.91,0.27,0.04,3.29
PRECTOTCORR,2018,0.0,0.66,1.08,3.37,3.84,5.56,7.96,8.11,8.85,3.54,0.08,0.0,3.6
PRECTOTCORR,2019,0.21,0.09,1.14,2.85,4.39,5.9,7.99,5.32,7.46,7.4,0.59,0.0,3.63
PRECTOTCORR,2020,0.0,0.17,1.63,3.17,6.0,5.5,9.09,4.42,8.4,10.73,0.03,0.01,4.12
PRECTOTCORR,2021,0.02,0.0,2.2,2.44,3.07,4.91,6.5,9.21,7.48,2.97,0.48,0.1,3.3
PRECTOTCORR,2022,0.37,0.06,1.16,3.72,4.42,8.77,6.19,13.64,11.02,3.61,0.09,0.01,4.44
RH2M,2003,49.55,49.97,47.67,72.35,73.25,85.17,86.0,88.13,87.71,85.62,74.99,61.71,71.93
RH2M,2004,55.86,56.93,56.9,78.41,83.16,84.4,86.09,87.5,86.58,84.6,76.97,59.59,74.77
RH2M,2005,47.9,58.5,67.36,72.47,78.36,83.24,85.3,85.89,84.79,82.59,62.8,48.94,71.57
RH2M,2006,49.2,46.74,58.17,60.9,80.4,81.6,83.98,88.2,87.55,85.07,62.86,49.12,69.63
RH2M,2007,42.11,45.92,50.22,78.93,84.15,85.24,87.04,87.99,86.96,86.89,77.08,63.9,73.16
RH2M,2008,51.73,51.37,65.46,66.53,76.53,81.85,86.52,87.89,87.11,83.19,68.54,65.77,72.79
RH2M,2009,57.91,67.79,64.02,80.5,80.91,83.78,86.23,87.51,87.67,86.44,74.07,59.44,76.37
