-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  10.2725   Longitude 2.7534 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 322.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,19.86,21.03,21.49,22.05,22.43,20.11,18.16,16.93,19.63,21.47,20.43,20.14,20.3
ALLSKY_SFC_SW_DWN,2004,19.89,19.59,20.27,21.43,20.25,19.31,18.13,16.97,19.3,21.43,19.61,19.89,19.67
ALLSKY_SFC_SW_DWN,2005,18.08,18.69,20.28,21.56,21.6,20.16,18.19,17.23,19.39,20.39,20.32,20.43,19.69
ALLSKY_SFC_SW_DWN,2006,19.67,20.95,20.26,22.01,20.0,19.52,18.67,16.91,17.76,20.4,20.71,18.93,19.63
ALLSKY_SFC_SW_DWN,2007,18.24,20.59,20.88,20.49,20.13,19.88,17.83,17.31,19.55,20.48,19.91,18.51,19.47
ALLSKY_SFC_SW_DWN,2008,20.18,19.87,21.92,21.15,20.71,20.44,17.65,17.58,17.44,20.62,20.65,19.42,19.8
ALLSKY_SFC_SW_DWN,2009,19.37,19.47,20.13,22.36,21.76,19.6,18.03,17.7,18.97,19.83,19.91,20.49,19.8
ALLSKY_SFC_SW_DWN,2010,21.43,21.91,19.84,20.46,20.52,20.05,16.84,16.56,17.89,19.3,19.7,20.42,19.56
ALLSKY_SFC_SW_DWN,2011,19.64,19.72,22.27,21.59,20.7,19.37,18.32,16.92,17.49,20.09,21.88,19.9,19.82
ALLSKY_SFC_SW_DWN,2012,19.78,19.86,20.41,21.4,19.82,19.53,16.81,16.49,18.69,20.54,20.74,19.45,19.45
ALLSKY_SFC_SW_DWN,2013,19.91,20.41,20.94,21.18,21.64,19.72,18.13,16.47,18.44,20.64,21.16,19.77,19.86
ALLSKY_SFC_SW_DWN,2014,19.28,20.83,22.23,20.78,20.88,20.02,18.87,17.15,18.37,20.92,20.75,19.64,19.97
ALLSKY_SFC_SW_DWN,2015,19.84,20.87,19.95,21.56,21.0,20.33,18.13,16.38,19.15,20.13,20.81,17.9,19.65
ALLSKY_SFC_SW_DWN,2016,18.94,19.09,21.13,22.57,21.37,18.5,17.55,17.03,18.39,21.17,20.16,18.86,19.56
ALLSKY_SFC_SW_DWN,2017,19.9,20.89,23.66,21.62,20.25,19.6,18.71,16.26,17.86,21.79,20.81,17.58,19.9
ALLSKY_SFC_SW_DWN,2018,19.07,20.31,21.78,21.51,21.27,18.96,17.18,15.84,18.24,19.87,21.14,19.62,19.56
ALLSKY_SFC_SW_DWN,2019,20.83,21.28,21.74,21.42,20.01,19.96,17.04,17.07,18.42,17.96,21.26,20.99,19.82
ALLSKY_SFC_SW_DWN,2020,19.43,20.68,21.4,21.95,21.24,18.74,17.48,16.57,17.84,20.63,20.99,20.51,19.78
ALLSKY_SFC_SW_DWN,2021,21.6,21.08,20.22,23.29,21.9,20.14,17.64,16.4,17.51,21.42,21.25,19.63,20.16
ALLSKY_SFC_SW_DWN,2022,20.23,21.6,19.43,20.83,20.22,19.66,18.15,16.52,15.94,20.58,20.96,19.32,19.44
PRECTOTCORR,2003,0.01,0.08,0.43,2.1,4.25,6.63,5.75,11.76,6.2,3.02,0.47,0.0,3.41
PRECTOTCORR,2004,0.34,0.01,0.05,2.08,4.67,5.73,8.06,6.27,6.54,1.27,1.04,0.0,3.01
PRECTOTCORR,2005,0.02,0.07,0.45,1.14,3.57,6.3,9.43,8.36,6.51,1.84,0.0,0.0,3.16
PRECTOTCORR,2006,0.0,0.05,0.03,1.0,3.56,3.07,8.04,9.87,7.69,2.62,0.01,0.0,3.02
PRECTOTCORR,2007,0.0,0.06,0.33,2.25,3.94,5.11,7.11,14.53,5.49,0.91,0.22,0.04,3.36
PRECTOTCORR,2008,0.0,0.0,0.14,1.56,1.55,4.58,6.14,9.79,7.09,1.88,0.01,0.06,2.74
PRECTOTCORR,2009,0.01,0.04,0.17,1.57,2.1,6.08,6.87,11.15,6.17,3.24,0.43,0.01,3.17
PRECTOTCORR,2010,0.0,0.03,0.09,1.6,4.77,6.68,5.67,9.49,7.1,3.97,0.13,0.0,3.31
PRECTOTCORR,2011,0.0,0.21,0.36,0.97,3.22,3.02,6.2,10.37,5.79,2.19,0.0,0.0,2.72
PRECTOTCORR,2012,0.0,0.39,0.06,1.39,4.8,5.41,7.25,9.69,6.06,2.8,0.18,0.0,3.18
PRECTOTCORR,2013,0.0,0.39,0.46,2.85,2.57,5.49,4.72,7.06,3.84,1.61,0.06,0.0,2.43
PRECTOTCORR,2014,0.09,0.01,0.36,2.53,3.1,3.7,4.48,7.91,8.4,1.66,0.13,0.0,2.71
PRECTOTCORR,2015,0.0,0.32,0.42,0.4,3.83,3.67,7.58,10.32,10.53,3.43,0.04,0.0,3.4
PRECTOTCORR,2016,0.0,0.02,0.78,2.72,5.87,7.56,6.4,8.83,9.77,1.71,0.0,0.0,3.64
PRECTOTCORR,2017,0.0,0.0,0.11,3.64,5.7,10.86,11.41,11.76,7.6,1.9,0.02,0.0,4.44
PRECTOTCORR,2018,0.0,0.62,0.71,0.62,7.63,8.17,11.36,10.52,8.49,2.69,0.0,0.0,4.26
