-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  10.2477   Longitude 1.1391 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 353.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,20.01,20.96,21.31,22.03,22.49,19.44,17.73,16.77,19.0,21.7,20.02,20.09,20.12
ALLSKY_SFC_SW_DWN,2004,19.96,19.54,20.31,20.74,19.3,19.32,18.25,17.48,18.51,21.13,19.49,19.8,19.49
ALLSKY_SFC_SW_DWN,2005,17.78,18.42,20.15,21.01,21.42,19.79,17.94,16.42,18.87,20.18,20.01,20.34,19.36
ALLSKY_SFC_SW_DWN,2006,19.55,20.53,20.4,21.9,19.66,19.23,17.78,16.85,17.63,20.06,20.51,18.78,19.39
ALLSKY_SFC_SW_DWN,2007,17.95,20.68,20.82,20.41,20.19,20.32,17.14,17.07,19.04,20.1,19.61,18.42,19.3
ALLSKY_SFC_SW_DWN,2008,20.09,19.62,21.57,21.32,20.8,19.54,17.31,16.65,17.35,20.29,20.73,19.52,19.56
ALLSKY_SFC_SW_DWN,2009,19.41,19.32,20.29,21.58,21.44,19.73,17.74,17.39,18.65,19.46,19.82,20.33,19.6
ALLSKY_SFC_SW_DWN,2010,21.33,21.69,19.79,20.02,20.51,19.33,16.24,16.61,17.15,18.8,19.56,20.32,19.26
ALLSKY_SFC_SW_DWN,2011,19.58,19.76,21.86,21.58,20.6,19.55,18.62,17.08,17.37,19.75,21.75,19.85,19.78
ALLSKY_SFC_SW_DWN,2012,20.05,19.64,20.45,21.0,20.06,19.07,17.2,16.42,17.72,20.08,20.44,19.28,19.28
ALLSKY_SFC_SW_DWN,2013,19.8,20.34,20.94,21.13,21.47,19.38,17.95,15.89,18.04,20.76,20.88,19.68,19.68
ALLSKY_SFC_SW_DWN,2014,19.21,20.71,21.75,20.62,20.12,20.12,18.22,16.64,17.46,20.13,20.44,19.83,19.59
ALLSKY_SFC_SW_DWN,2015,19.85,20.99,20.04,21.54,21.14,20.06,17.92,15.76,18.08,19.98,20.72,18.09,19.5
ALLSKY_SFC_SW_DWN,2016,18.78,19.16,20.75,22.48,21.02,18.57,17.23,16.88,18.13,20.68,19.93,18.89,19.37
ALLSKY_SFC_SW_DWN,2017,20.02,20.82,23.53,21.45,20.03,18.78,18.03,16.16,17.85,21.56,20.79,17.84,19.73
ALLSKY_SFC_SW_DWN,2018,19.11,20.6,21.77,21.29,20.92,18.16,16.35,16.49,18.01,19.4,21.01,19.71,19.39
ALLSKY_SFC_SW_DWN,2019,20.77,21.23,21.58,20.98,20.1,19.98,17.5,16.99,17.58,17.7,21.53,21.0,19.73
ALLSKY_SFC_SW_DWN,2020,19.4,20.9,21.19,21.25,20.91,18.44,17.69,16.61,17.18,20.42,21.02,20.66,19.63
ALLSKY_SFC_SW_DWN,2021,21.59,21.04,20.34,23.02,21.86,19.9,17.18,15.83,17.12,20.66,21.03,19.6,19.92
ALLSKY_SFC_SW_DWN,2022,20.34,21.62,19.4,20.85,19.96,19.77,17.59,16.09,15.67,20.38,20.92,19.38,19.31
PRECTOTCORR,2003,0.25,0.15,0.46,3.29,4.45,7.37,7.21,11.35,7.79,3.77,0.68,0.0,3.92
PRECTOTCORR,2004,0.53,0.12,0.22,3.48,3.96,5.46,8.66,6.05,5.66,2.38,1.97,0.01,3.21
PRECTOTCORR,2005,0.03,0.2,0.73,2.47,3.79,5.81,7.72,7.38,5.81,2.4,0.05,0.01,3.05
PRECTOTCORR,2006,0.09,0.22,0.38,1.45,4.0,3.17,7.13,9.55,8.06,3.3,0.05,0.0,3.14
PRECTOTCORR,2007,0.0,0.19,0.6,3.46,5.23,5.12,9.58,12.19,7.88,1.65,0.43,0.14,3.9
PRECTOTCORR,2008,0.0,0.03,0.61,2.12,2.46,4.96,8.13,9.13,7.45,2.6,0.04,0.29,3.16
PRECTOTCORR,2009,0.03,0.2,0.73,3.85,2.62,6.46,7.8,10.05,6.02,3.7,0.81,0.01,3.54
PRECTOTCORR,2010,0.0,0.19,0.65,2.67,4.85,5.14,7.0,8.75,10.08,4.87,0.35,0.0,3.73
PRECTOTCORR,2011,0.01,0.59,1.28,1.56,4.81,4.26,6.57,10.83,6.88,3.53,0.01,0.0,3.39
PRECTOTCORR,2012,0.02,0.95,0.24,2.7,5.52,6.36,7.87,8.31,6.8,4.72,0.38,0.03,3.67
PRECTOTCORR,2013,0.02,0.6,1.81,4.81,3.76,5.46,4.89,6.16,5.19,2.35,0.24,0.02,2.95
PRECTOTCORR,2014,0.26,0.13,1.06,3.49,3.54,4.3,4.79,7.46,8.5,3.26,0.34,0.0,3.11
PRECTOTCORR,2015,0.0,0.3,0.86,0.82,5.27,4.12,6.88,8.48,7.47,4.59,0.12,0.0,3.27
PRECTOTCORR,2016,0.0,0.08,2.44,4.04,6.32,6.99,7.16,9.37,8.02,2.17,0.02,0.02,3.9
PRECTOTCORR,2017,0.0,0.03,0.37,3.82,5.59,8.26,8.9,15.19,5.3,1.86,0.2,0.0,4.16
PRECTOTCORR,2018,0.0,0.67,1.05,2.28,6.63,6.26,11.52,6.45,7.26,2.96,0.01,0.0,3.78
PRECTOTCORR,2019,0.0,0.0,0.85,2.75,4.66,6.9,10.63,9.3,7.2,8.43,0.21,0.0,4.28
PRECTOTCORR,2020,0.0,0.0,0.82,2.79,6.56,8.99,7.37,6.04,12.03,6.15,0.05,0.0,4.24
PRECTOTCORR,2021,0.0,0.0,0.54,4.0,4.73,6.51,7.52,11.24,6.63,3.83,0.5,0.0,3.82
PRECTOTCORR,2022,0.27,0.01,0.37,8.27,7.83,11.8,5.62,13.2,11.65,2.96,0.05,0.0,5.18
RH2M,2003,31.79,32.84,31.38,64.97,68.87,82.3,84.62,87.06,85.32,82.53,71.16,54.35,64.91
RH2M,2004,47.89,43.62,41.22,71.24,77.95,81.16,84.93,86.63,85.03,81.11,72.39,50.75,68.7
RH2M,2005,39.6,42.49,55.27,65.96,73.37,81.92,85.38,86.3,83.15,78.96,59.87,43.3,66.42
