-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  10.4736   Longitude 0.909 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 174.96 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,19.72,20.73,21.8,22.44,23.31,19.86,18.85,17.52,19.58,21.7,20.08,20.01,20.46
ALLSKY_SFC_SW_DWN,2004,20.04,19.42,20.05,20.51,19.44,19.6,18.26,18.06,18.69,21.52,19.97,19.32,19.57
ALLSKY_SFC_SW_DWN,2005,17.71,18.55,20.49,21.48,21.71,19.81,17.78,17.08,18.59,20.71,19.62,20.19,19.48
ALLSKY_SFC_SW_DWN,2006,19.56,20.54,20.71,22.31,20.54,19.74,18.08,17.48,17.7,20.53,20.5,18.73,19.69
ALLSKY_SFC_SW_DWN,2007,17.92,21.18,21.26,19.95,20.57,20.22,17.3,16.8,19.03,20.74,19.57,18.74,19.42
ALLSKY_SFC_SW_DWN,2008,20.67,19.78,21.48,21.8,21.07,19.22,17.79,16.65,17.54,20.45,20.55,19.44,19.7
ALLSKY_SFC_SW_DWN,2009,19.63,19.1,20.27,21.5,21.54,19.76,17.93,17.99,18.97,20.28,19.94,20.01,19.75
ALLSKY_SFC_SW_DWN,2010,21.58,21.59,19.37,20.41,20.86,19.6,16.7,17.19,17.34,18.79,19.79,19.94,19.41
ALLSKY_SFC_SW_DWN,2011,19.49,20.18,21.85,22.06,21.26,20.11,19.17,17.74,18.51,20.45,21.34,19.9,20.17
ALLSKY_SFC_SW_DWN,2012,20.49,19.83,20.17,21.3,20.6,19.13,17.07,16.96,17.75,20.56,20.52,18.87,19.43
ALLSKY_SFC_SW_DWN,2013,20.16,21.04,21.23,21.92,21.89,19.66,18.15,16.19,18.12,21.4,20.77,19.71,20.01
ALLSKY_SFC_SW_DWN,2014,19.26,20.92,21.8,21.45,20.69,20.22,18.43,16.56,17.55,20.89,20.09,19.84,19.8
ALLSKY_SFC_SW_DWN,2015,19.93,21.22,20.58,21.7,21.64,20.4,18.59,16.17,18.47,20.63,20.57,17.86,19.8
ALLSKY_SFC_SW_DWN,2016,18.67,19.47,20.04,23.06,21.28,19.18,17.83,17.72,18.67,21.17,19.66,19.03,19.64
ALLSKY_SFC_SW_DWN,2017,20.53,20.63,23.17,21.97,20.46,18.8,17.13,16.28,18.3,21.24,20.48,18.11,19.75
ALLSKY_SFC_SW_DWN,2018,19.27,20.53,22.43,21.78,20.89,18.25,17.15,17.28,18.23,19.63,20.74,19.91,19.67
ALLSKY_SFC_SW_DWN,2019,20.94,21.24,21.75,21.5,20.95,20.29,17.6,17.54,17.32,18.7,21.54,20.84,20.01
ALLSKY_SFC_SW_DWN,2020,19.35,21.1,20.93,20.65,21.3,18.28,18.13,17.29,17.16,20.89,21.03,20.77,19.74
ALLSKY_SFC_SW_DWN,2021,21.55,21.33,20.09,23.25,22.17,19.81,17.73,16.07,18.46,21.01,21.18,19.75,20.18
ALLSKY_SFC_SW_DWN,2022,20.52,21.6,19.73,20.82,20.5,19.87,17.4,16.66,15.32,20.91,20.8,19.42,19.45
PRECTOTCORR,2003,0.05,0.16,0.46,2.98,4.71,8.16,6.04,11.61,7.43,4.17,0.8,0.0,3.9
PRECTOTCORR,2004,0.4,0.08,0.11,3.44,4.17,6.01,10.65,7.1,7.02,2.34,1.71,0.0,3.59
PRECTOTCORR,2005,0.06,0.3,0.54,2.08,4.41,6.94,8.33,7.79,6.89,2.57,0.01,0.03,3.35
PRECTOTCORR,2006,0.02,0.21,0.13,1.41,3.68,3.53,8.14,9.81,8.24,3.1,0.01,0.0,3.21
PRECTOTCORR,2007,0.0,0.05,0.59,2.95,4.81,4.76,9.18,11.91,6.85,1.2,0.43,0.04,3.59
PRECTOTCORR,2008,0.0,0.0,0.33,1.79,2.16,5.3,7.8,11.22,7.19,2.43,0.01,0.05,3.2
PRECTOTCORR,2009,0.0,0.16,0.26,2.61,2.8,6.02,7.8,10.92,7.56,4.08,0.76,0.01,3.6
PRECTOTCORR,2010,0.0,0.1,0.14,2.48,5.02,6.2,6.56,9.59,8.77,4.81,0.23,0.0,3.68
PRECTOTCORR,2011,0.01,0.42,0.79,1.42,4.04,4.1,6.9,11.4,6.73,2.94,0.0,0.0,3.25
PRECTOTCORR,2012,0.0,0.65,0.17,2.03,5.36,6.22,7.96,9.34,6.93,4.83,0.36,0.02,3.67
PRECTOTCORR,2013,0.0,0.91,1.13,4.54,3.26,5.7,6.38,7.3,4.98,1.98,0.13,0.0,3.03
PRECTOTCORR,2014,0.17,0.03,0.61,3.85,3.23,5.05,4.69,7.54,8.58,2.62,0.33,0.0,3.07
PRECTOTCORR,2015,0.0,0.37,0.22,1.57,2.96,4.96,9.21,10.95,9.73,4.55,0.12,0.0,3.74
PRECTOTCORR,2016,0.0,0.06,1.22,3.42,4.43,6.9,8.29,9.45,9.19,2.27,0.02,0.0,3.78
PRECTOTCORR,2017,0.0,0.0,0.26,3.3,5.41,10.33,9.49,11.83,6.29,2.0,0.4,0.0,4.13
PRECTOTCORR,2018,0.0,0.27,0.86,2.73,4.66,6.12,9.08,6.53,8.52,3.11,0.0,0.0,3.51
PRECTOTCORR,2019,0.0,0.0,1.02,2.31,4.81,7.48,11.87,7.31,7.39,7.6,0.13,0.0,4.19
PRECTOTCORR,2020,0.0,0.0,0.48,2.46,5.33,9.46,7.99,9.31,11.16,5.39,0.04,0.0,4.31
PRECTOTCORR,2021,0.0,0.0,0.22,2.05,3.22,6.38,8.17,11.48,6.95,3.56,0.67,0.0,3.58
PRECTOTCORR,2022,0.06,0.01,0.39,2.67,5.86,7.64,6.57,10.88,14.85,3.72,0.06,0.0,4.41
RH2M,2003,29.41,30.62,27.11,60.93,64.11,80.84,83.02,85.82,84.22,81.88,69.62,51.26,62.54
RH2M,2004,44.11,38.79,36.75,66.59,75.13,80.49,84.03,85.42,84.83,81.51,72.77,48.66,66.64
RH2M,2005,41.56,42.98,54.6,62.76,73.31,81.51,84.37,85.46,82.87,78.79,59.87,43.11,66.06
RH2M,2006,37.92,32.69,42.41,48.34,70.72,73.71,81.88,87.56,86.74,81.56,58.64,46.68,62.6
RH2M,2007,38.83,28.97,35.39,67.67,78.11,80.37,84.59,86.95,84.14,81.61,69.09,53.78,65.99
RH2M,2008,37.8,33.25,44.64,49.5,65.49,68.93,82.92,86.21,84.74,79.41,58.23,50.59,61.93
RH2M,2009,38.13,45.1,44.54,65.36,70.36,76.26,82.71,85.39,84.72,82.82,70.7,54.0,66.77
RH2M,2010,38.6,43.85,44.66,59.89,75.2,79.86,84.39,86.2,86.22,85.02,72.8,55.35,67.79
RH2M,2011,54.41,55.15,64.98,59.82,76.31,79.33,83.6,85.75,83.54,80.84,60.24,44.29,69.12
RH2M,2012,36.46,40.79,38.54,61.24,75.33,81.08,84.9,85.8,84.98,82.04,69.69,59.05,66.72
RH2M,2013,43.15,42.7,63.41,69.28,73.31,80.21,82.78,84.33,82.68,71.5,56.04,36.08,65.57
RH2M,2014,31.96,24.43,39.77,62.63,68.16,76.33,77.01,84.59,83.27,78.68,63.95,38.91,60.99
RH2M,2015,27.61,36.67,34.75,47.46,63.18,72.73,80.96,86.32,84.4,81.19,65.07,55.4,61.45
RH2M,2016,41.47,33.17,47.96,66.72,72.8,77.19,85.14,85.29,84.59,77.47,66.48,57.84,66.44
RH2M,2017,41.23,32.46,38.69,58.84,73.35,81.04,84.42,85.97,83.58,77.58,66.6,58.78,65.4
RH2M,2018,45.28,45.99,52.25,61.07,73.66,80.63,85.29,86.08,85.91,80.66,67.15,56.62,68.51
RH2M,2019,41.7,33.84,42.89,61.13,74.28,80.96,83.7,87.28,84.18,86.85,69.17,59.52,67.32
RH2M,2020,52.73,39.54,57.01,67.33,73.13,82.62,85.52,85.8,85.55,79.99,71.11,59.47,70.08
RH2M,2021,48.72,38.77,53.02,58.03,69.52,77.68,84.65,86.37,84.65,80.55,70.83,57.86,67.73
RH2M,2022,43.0,37.04,51.17,63.98,75.28,81.16,84.54,86.77,86.77,80.12,68.24,63.24,68.63
T2M,2003,25.46,30.26,30.8,30.34,30.2,26.74,25.99,25.68,25.9,27.0,26.15,23.57,27.32
T2M,2004,24.96,26.52,28.96,29.56,28.42,26.84,25.73,25.81,25.89,26.57,25.7,25.39,26.69
T2M,2005,22.78,28.82,31.0,30.61,28.58,26.85,25.91,25.81,26.57,26.5,25.65,25.14,27.0
T2M,2006,27.23,29.39,30.84,31.64,28.84,27.98,26.56,25.41,25.66,26.85,24.88,23.02,27.34
T2M,2007,22.16,27.25,30.29,29.62,28.29,26.93,25.8,25.39,26.11,26.54,26.16,24.06,26.54
T2M,2008,22.06,25.64,30.22,30.81,29.49,28.65,26.03,25.53,26.08,26.6,25.67,25.25,26.83
T2M,2009,25.71,29.59,31.3,29.76,28.89,27.69,26.36,25.83,26.27,26.63,25.28,24.54,27.3
T2M,2010,24.94,29.22,30.28,31.0,28.92,27.46,25.9,25.88,25.68,26.24,26.67,24.17,27.17
T2M,2011,22.83,27.35,29.3,29.74,28.2,27.2,26.07,25.69,26.12,26.68,26.1,22.58,26.47
T2M,2012,24.0,27.76,30.11,29.84,27.93,26.63,25.68,25.49,25.84,26.72,27.15,23.84,26.74
T2M,2013,24.52,27.33,30.04,29.24,28.5,27.06,26.09,25.68,26.31,27.27,27.87,25.59,27.12
T2M,2014,26.89,29.21,30.96,30.39,29.49,27.93,27.31,25.88,26.07,26.9,27.57,25.73,27.85
T2M,2015,24.44,29.64,31.12,30.97,30.22,28.3,26.87,25.9,26.6,27.38,25.19,20.47,27.23
T2M,2016,22.1,25.92,30.93,30.26,29.01,27.52,26.18,26.08,26.15,27.21,26.56,24.78,26.89
T2M,2017,25.23,26.9,30.84,31.01,28.96,27.09,26.06,25.9,26.41,26.31,25.14,23.58,26.95
T2M,2018,22.3,27.63,30.06,30.51,28.5,27.15,25.9,25.65,25.97,26.95,25.99,22.96,26.61
T2M,2019,25.06,27.63,31.02,30.95,28.73,27.36,26.38,25.65,26.67,26.0,26.76,22.99,27.09
T2M,2020,22.63,24.88,30.22,29.68,28.99,26.93,25.94,25.54,26.01,26.04,24.91,25.2,26.42
T2M,2021,24.59,26.19,29.59,30.33,29.44,27.54,26.0,25.69,26.15,27.26,26.66,23.61,26.92
T2M,2022,23.59,26.74,30.67,29.83,28.37,26.66,25.98,25.65,25.57,26.21,24.75,22.38,26.36
T2M_MAX,2003,37.66,41.24,42.45,42.55,40.25,33.21,31.44,31.75,32.14,33.82,33.51,33.21,42.55
T2M_MAX,2004,36.73,38.53,41.71,41.71,36.54,32.65,31.41,30.94,31.48,33.3,33.12,35.01,41.71
T2M_MAX,2005,35.85,40.88,41.78,39.92,36.83,33.05,32.05,31.13,32.73,33.8,34.8,35.94,41.78
T2M_MAX,2006,38.76,40.32,42.22,43.33,37.6,35.55,34.17,30.43,31.45,33.34,33.78,34.13,43.33
T2M_MAX,2007,38.3,38.72,40.33,39.07,34.42,33.13,31.67,30.8,32.11,33.29,34.27,34.55,40.33
T2M_MAX,2008,34.62,38.57,41.7,41.44,38.15,38.98,32.54,30.74,31.84,33.67,35.34,35.58,41.7
T2M_MAX,2009,37.95,39.51,40.81,38.93,37.81,37.15,32.44,30.99,32.31,32.58,33.23,35.47,40.81
T2M_MAX,2010,37.65,40.7,40.44,41.6,35.46,34.24,31.79,31.07,31.93,32.09,33.58,33.75,41.6
T2M_MAX,2011,36.01,37.68,38.98,41.01,35.88,34.43,32.12,31.1,31.89,33.32,34.1,33.62,41.01
T2M_MAX,2012,36.83,38.74,40.56,39.96,36.66,33.19,31.3,31.17,31.77,32.66,34.13,34.05,40.56
T2M_MAX,2013,37.0,40.45,39.29,38.6,36.39,33.56,32.33,31.82,32.33,34.22,37.84,37.77,40.45
T2M_MAX,2014,38.44,40.95,41.34,40.53,38.33,35.35,34.59,32.0,31.86,34.26,35.77,36.83,41.34
T2M_MAX,2015,37.92,41.87,41.36,41.22,41.31,35.25,34.21,30.87,32.41,33.67,33.65,32.68,41.87
T2M_MAX,2016,34.52,39.74,40.57,39.53,38.55,36.78,32.32,32.0,32.2,34.01,34.1,34.84,40.57
T2M_MAX,2017,36.75,39.8,42.26,41.13,36.38,36.04,31.95,31.28,32.3,33.58,33.31,33.26,42.26
T2M_MAX,2018,33.77,38.36,40.24,39.62,37.81,33.57,31.58,30.8,31.88,34.01,34.02,34.46,40.24
T2M_MAX,2019,36.37,37.79,42.68,41.0,38.2,34.63,31.66,31.1,31.75,31.73,34.16,32.95,42.68
T2M_MAX,2020,33.9,38.0,39.73,39.56,38.38,33.2,31.98,31.93,31.73,33.26,33.02,34.17,39.73
T2M_MAX,2021,35.52,37.92,39.25,39.76,37.05,35.56,31.87,31.28,31.17,33.33,34.58,33.84,39.76
T2M_MAX,2022,34.93,39.02,40.41,38.99,37.81,35.28,32.24,31.61,31.43,32.89,32.73,32.92,40.41
T2M_MIN,2003,13.12,17.62,21.11,20.78,23.27,20.68,20.75,21.41,21.51,21.5,15.71,12.44,12.44
T2M_MIN,2004,13.9,14.77,15.02,22.97,22.49,21.92,21.02,21.27,21.56,20.66,15.91,14.8,13.9
T2M_MIN,2005,11.84,17.01,22.76,23.64,22.53,21.66,21.07,21.34,21.71,19.61,16.18,15.04,11.84
T2M_MIN,2006,15.95,18.12,21.36,21.97,23.06,22.36,21.85,21.51,21.64,20.08,13.29,12.47,12.47
T2M_MIN,2007,11.91,15.5,17.22,23.91,23.17,22.4,21.53,21.31,20.92,21.26,18.13,12.82,11.91
T2M_MIN,2008,10.57,15.23,19.08,19.87,23.25,22.63,21.63,21.29,21.84,18.83,15.89,13.02,10.57
T2M_MIN,2009,14.82,19.49,20.83,23.49,23.37,22.2,21.53,20.59,21.6,21.72,15.7,13.03,13.03
T2M_MIN,2010,12.44,16.03,19.93,22.67,23.82,21.87,21.0,21.27,21.52,21.81,18.84,13.07,12.44
T2M_MIN,2011,11.71,16.44,20.92,20.17,23.05,22.01,21.29,20.99,20.76,19.99,14.66,11.63,11.63
T2M_MIN,2012,12.94,16.41,18.72,21.89,22.33,20.68,20.67,20.74,21.14,21.7,18.21,12.64,12.64
T2M_MIN,2013,11.84,13.18,21.88,23.22,22.98,22.1,21.61,21.04,21.3,20.05,16.34,14.3,11.84
T2M_MIN,2014,15.81,18.19,19.12,23.67,23.44,22.52,22.01,21.28,20.94,20.34,17.71,13.02,13.02
T2M_MIN,2015,11.64,18.25,18.61,18.69,23.71,22.98,21.46,21.53,21.71,21.61,14.54,10.95,10.95
T2M_MIN,2016,11.74,13.24,20.43,24.02,23.04,21.52,21.77,21.89,21.16,20.26,16.63,14.44,11.74
T2M_MIN,2017,14.66,15.2,18.17,23.75,22.91,21.41,20.93,21.55,20.52,18.65,15.41,12.94,12.94
T2M_MIN,2018,11.58,14.81,18.1,24.07,23.13,22.33,21.59,21.23,21.31,21.5,16.39,13.38,11.58
T2M_MIN,2019,14.47,16.44,18.95,23.62,22.86,22.01,21.16,21.56,21.91,21.88,16.4,11.81,11.81
T2M_MIN,2020,10.36,12.57,19.11,22.19,23.56,22.14,21.89,20.5,21.94,18.61,14.55,13.59,10.36
T2M_MIN,2021,13.26,15.92,19.67,19.67,23.49,22.4,21.68,22.03,21.63,22.05,16.56,13.87,13.26
T2M_MIN,2022,12.63,14.22,20.01,21.86,22.99,21.81,21.37,21.17,21.48,17.8,14.25,12.43,12.43
