-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  6.3738   Longitude 2.42 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 30.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,17.08,18.44,17.34,18.28,17.6,14.38,17.1,16.66,16.7,17.59,17.92,18.18,17.27
ALLSKY_SFC_SW_DWN,2004,17.26,16.82,17.2,17.78,15.51,14.62,15.82,14.59,15.73,17.14,18.23,18.19,16.57
ALLSKY_SFC_SW_DWN,2005,17.3,17.23,18.43,17.63,16.96,14.06,13.67,15.65,15.92,17.56,18.81,17.87,16.76
ALLSKY_SFC_SW_DWN,2006,17.18,17.72,17.86,18.86,15.91,16.23,14.83,14.95,14.41,17.12,18.61,17.86,16.79
ALLSKY_SFC_SW_DWN,2007,17.18,17.66,18.42,18.61,16.74,13.7,15.14,14.92,16.35,16.55,18.19,17.1,16.7
ALLSKY_SFC_SW_DWN,2008,18.24,17.44,17.99,16.89,16.8,14.42,13.9,15.69,15.52,16.9,17.67,17.0,16.54
ALLSKY_SFC_SW_DWN,2009,18.12,17.38,16.86,18.57,17.44,15.06,13.83,14.11,15.8,16.61,17.92,18.55,16.68
ALLSKY_SFC_SW_DWN,2010,16.93,19.34,16.55,18.32,16.36,13.82,15.75,14.4,15.93,16.15,18.32,18.17,16.65
ALLSKY_SFC_SW_DWN,2011,17.53,17.85,19.45,18.21,16.38,12.96,12.93,15.24,16.5,17.17,18.68,18.05,16.74
ALLSKY_SFC_SW_DWN,2012,17.25,16.33,17.37,17.95,16.87,13.26,14.97,15.39,15.91,16.85,17.85,17.43,16.46
ALLSKY_SFC_SW_DWN,2013,17.97,17.7,19.65,18.61,16.85,14.67,14.49,16.61,15.73,17.57,18.03,17.29,17.1
ALLSKY_SFC_SW_DWN,2014,17.32,16.78,18.52,18.69,17.11,14.82,13.46,14.54,14.99,17.64,16.91,17.52,16.52
ALLSKY_SFC_SW_DWN,2015,17.54,16.92,17.39,18.24,17.97,13.32,15.8,14.29,14.11,16.62,18.45,17.41,16.51
ALLSKY_SFC_SW_DWN,2016,17.05,17.49,17.48,20.24,17.33,14.28,15.4,15.02,15.42,16.8,18.27,17.11,16.82
ALLSKY_SFC_SW_DWN,2017,17.15,17.46,19.33,18.56,15.82,14.24,13.28,13.39,14.92,16.91,17.93,16.11,16.25
ALLSKY_SFC_SW_DWN,2018,17.86,16.46,19.17,17.46,16.38,15.86,14.85,16.43,15.86,16.83,17.51,17.17,16.83
ALLSKY_SFC_SW_DWN,2019,16.88,16.54,19.62,18.59,16.37,15.23,14.72,16.91,14.42,13.71,18.14,18.27,16.62
ALLSKY_SFC_SW_DWN,2020,18.01,17.95,18.26,18.35,17.77,14.12,14.38,17.13,14.67,16.8,17.85,17.78,16.92
ALLSKY_SFC_SW_DWN,2021,17.85,17.38,16.79,18.91,18.53,15.64,16.0,15.22,15.01,17.33,18.04,16.97,16.97
ALLSKY_SFC_SW_DWN,2022,18.01,18.71,17.34,17.09,17.23,14.32,14.94,14.64,14.86,16.92,18.55,18.27,16.73
PRECTOTCORR,2003,1.45,0.89,0.67,7.73,3.33,7.7,4.73,2.02,7.67,5.64,1.52,0.37,3.64
PRECTOTCORR,2004,1.07,0.75,2.08,5.1,8.22,4.24,5.67,3.18,6.85,5.38,1.67,0.39,3.72
PRECTOTCORR,2005,0.17,1.51,3.04,2.87,3.15,9.08,2.4,1.9,4.63,3.06,1.17,0.22,2.76
PRECTOTCORR,2006,0.37,1.1,2.77,1.52,5.5,4.36,4.38,4.2,7.07,3.17,1.36,0.09,3.0
PRECTOTCORR,2007,0.03,0.59,1.56,3.61,6.92,8.65,7.65,5.18,9.89,6.89,1.29,1.34,4.48
PRECTOTCORR,2008,0.75,0.38,1.43,2.08,3.64,10.09,10.66,3.92,6.76,3.93,0.88,1.33,3.83
PRECTOTCORR,2009,0.91,1.15,2.73,6.04,4.84,8.75,7.36,3.18,3.61,6.48,1.75,0.05,3.91
PRECTOTCORR,2010,0.49,1.23,3.37,3.41,6.25,8.05,4.73,5.77,11.86,7.54,3.14,1.57,4.79
PRECTOTCORR,2011,0.03,3.23,1.05,3.63,5.34,6.17,7.59,3.29,5.08,7.98,2.36,0.03,3.81
PRECTOTCORR,2012,0.4,2.12,1.82,6.11,6.51,8.51,4.14,2.0,6.94,6.93,3.2,1.71,4.19
PRECTOTCORR,2013,1.95,1.23,3.97,4.78,6.07,3.9,4.74,1.15,4.34,3.35,1.86,0.64,3.17
PRECTOTCORR,2014,2.47,1.14,2.79,3.28,7.16,4.52,4.49,4.4,7.49,5.6,2.56,0.38,3.87
PRECTOTCORR,2015,0.17,1.45,5.19,2.18,2.97,5.34,3.03,1.48,3.53,4.39,1.37,0.12,2.61
PRECTOTCORR,2016,0.41,0.16,4.26,3.55,4.93,5.37,3.1,2.7,9.19,6.33,1.14,0.33,3.46
PRECTOTCORR,2017,0.21,0.48,2.45,3.31,5.03,9.44,5.79,2.92,4.67,2.7,2.01,1.07,3.35
PRECTOTCORR,2018,0.01,2.1,1.95,1.84,4.93,5.11,5.31,4.4,7.4,5.79,2.32,0.22,3.45
PRECTOTCORR,2019,1.26,2.3,3.1,3.21,6.47,7.77,5.85,2.25,8.32,11.96,2.26,1.3,4.68
PRECTOTCORR,2020,0.07,0.02,2.49,3.93,9.16,11.87,5.31,0.53,9.11,4.01,2.05,0.93,4.12
PRECTOTCORR,2021,1.15,0.64,3.52,3.84,2.74,5.55,5.13,5.79,7.62,5.21,4.61,0.13,3.84
PRECTOTCORR,2022,0.88,0.8,2.31,5.85,4.51,9.52,4.38,3.54,8.23,6.01,1.38,1.06,4.04
RH2M,2003,77.41,81.23,80.44,86.3,86.69,89.08,88.97,86.86,89.0,89.23,85.7,78.56,84.96
RH2M,2004,79.33,80.32,79.86,87.42,87.65,88.54,90.2,88.79,89.99,88.72,87.31,85.44,86.14
RH2M,2005,72.46,85.65,86.94,87.71,87.73,88.46,87.95,86.88,88.36,88.52,85.52,82.92,85.74
RH2M,2006,85.23,83.77,85.11,84.92,87.7,87.86,87.52,86.98,89.61,87.66,81.42,78.68,85.55
RH2M,2007,64.46,79.56,81.3,86.34,87.51,88.75,87.76,88.79,89.87,89.31,86.77,80.93,84.28
RH2M,2008,70.54,80.08,86.32,85.16,86.45,88.94,88.88,89.31,89.73,88.69,85.64,82.37,85.18
RH2M,2009,82.18,87.41,87.06,87.34,86.7,87.93,89.09,90.25,90.32,88.99,83.79,82.79,86.98
RH2M,2010,82.54,84.75,84.84,85.86,87.3,88.65,88.28,89.52,89.39,88.91,86.07,81.15,86.44
RH2M,2011,74.85,84.14,85.84,85.79,86.9,88.7,89.65,88.47,89.44,88.1,85.56,76.22,85.29
RH2M,2012,79.43,84.54,84.55,86.72,86.54,88.82,87.38,87.92,88.58,88.04,88.0,81.78,86.01
RH2M,2013,80.66,84.18,86.65,85.91,87.26,87.76,88.69,87.1,88.38,87.8,87.0,81.29,86.06
RH2M,2014,84.72,83.24,84.64,85.48,85.53,88.19,87.06,88.08,90.05,88.59,86.69,79.56,85.99
RH2M,2015,74.26,83.81,84.96,85.88,86.37,88.38,87.82,86.48,86.44,88.28,83.5,63.0,83.23
RH2M,2016,68.38,76.59,82.62,85.75,86.88,87.98,87.96,87.24,89.28,87.42,83.61,78.3,83.5
RH2M,2017,77.97,78.51,83.01,84.69,85.69,88.21,88.79,88.45,88.09,87.75,84.57,78.76,84.57
RH2M,2018,75.51,80.91,83.4,84.18,86.62,86.62,88.96,87.17,89.06,87.16,84.99,75.44,84.17
