-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  6.5473   Longitude 1.8522 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 35.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,17.42,18.9,17.64,18.7,19.01,15.46,17.57,16.61,17.04,18.91,18.8,18.22,17.85
ALLSKY_SFC_SW_DWN,2004,17.68,17.21,17.6,17.98,16.35,15.24,16.16,15.6,16.66,18.46,19.11,18.61,17.22
ALLSKY_SFC_SW_DWN,2005,17.72,17.33,18.93,17.79,18.57,15.34,14.5,15.46,16.92,20.23,19.31,18.59,17.56
ALLSKY_SFC_SW_DWN,2006,17.58,18.19,18.3,19.6,16.97,17.96,16.0,14.95,16.22,18.45,19.13,18.24,17.62
ALLSKY_SFC_SW_DWN,2007,17.61,18.13,18.66,19.25,17.71,15.42,15.3,15.2,17.24,18.26,19.03,17.67,17.45
ALLSKY_SFC_SW_DWN,2008,18.63,17.55,18.21,17.93,17.62,15.76,15.11,15.27,15.91,18.46,18.67,17.58,17.22
ALLSKY_SFC_SW_DWN,2009,18.58,17.76,17.29,18.9,19.03,15.55,14.97,14.17,16.43,18.54,18.66,18.67,17.38
ALLSKY_SFC_SW_DWN,2010,17.69,19.39,16.94,19.29,17.05,14.9,16.62,14.85,16.17,17.3,18.92,19.0,17.32
ALLSKY_SFC_SW_DWN,2011,17.74,17.88,19.94,19.52,16.75,14.26,13.97,14.82,17.33,18.38,19.75,18.31,17.38
ALLSKY_SFC_SW_DWN,2012,17.5,16.72,17.97,18.85,18.1,14.76,15.94,15.6,17.14,18.13,18.68,17.79,17.27
ALLSKY_SFC_SW_DWN,2013,18.41,17.8,19.73,19.15,17.19,16.08,15.44,17.15,16.1,18.67,18.74,18.21,17.72
ALLSKY_SFC_SW_DWN,2014,17.88,16.94,19.12,19.35,17.6,16.81,14.58,14.67,16.01,18.68,18.01,17.75,17.28
ALLSKY_SFC_SW_DWN,2015,17.67,17.35,18.07,18.16,18.82,15.24,16.42,14.78,15.44,17.67,19.22,17.5,17.2
ALLSKY_SFC_SW_DWN,2016,17.34,17.41,18.48,20.82,17.69,15.39,16.31,15.41,16.95,18.32,18.96,17.58,17.55
ALLSKY_SFC_SW_DWN,2017,17.4,17.44,19.89,19.1,16.89,15.27,14.79,13.7,15.85,18.07,18.24,16.58,16.93
ALLSKY_SFC_SW_DWN,2018,17.82,16.75,19.88,18.33,17.4,16.9,15.82,17.64,17.31,18.5,18.73,17.41,17.71
ALLSKY_SFC_SW_DWN,2019,17.76,17.2,19.84,19.59,17.38,17.2,15.84,17.3,15.67,15.21,18.72,19.09,17.57
ALLSKY_SFC_SW_DWN,2020,18.15,18.29,18.96,18.57,18.6,15.81,15.04,17.68,15.24,17.81,18.47,18.01,17.55
ALLSKY_SFC_SW_DWN,2021,18.04,17.33,17.23,19.24,19.25,16.22,17.51,15.85,16.23,18.12,18.96,17.42,17.62
ALLSKY_SFC_SW_DWN,2022,18.07,19.03,17.76,16.9,18.13,15.31,15.85,14.66,15.27,18.07,19.07,18.89,17.24
PRECTOTCORR,2003,0.74,0.64,0.82,4.6,2.97,9.11,6.43,2.52,6.32,4.78,1.25,0.67,3.41
PRECTOTCORR,2004,0.9,0.69,2.66,4.93,6.29,4.2,5.42,3.17,5.59,5.02,2.05,0.74,3.48
PRECTOTCORR,2005,0.31,1.87,3.48,4.07,3.93,5.74,2.54,1.87,4.63,3.47,1.3,0.37,2.79
PRECTOTCORR,2006,0.45,1.39,3.11,2.0,5.53,4.96,3.72,2.9,6.01,3.36,1.01,0.15,2.89
PRECTOTCORR,2007,0.06,0.83,1.81,3.54,6.84,5.77,8.41,4.54,9.09,5.77,0.8,1.1,4.06
PRECTOTCORR,2008,1.28,0.21,1.35,1.9,3.36,8.58,8.53,3.42,6.17,3.6,0.78,1.73,3.42
