-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  10.9291   Longitude 2.008 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 329.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,19.86,21.03,21.49,22.05,22.43,20.11,18.16,16.93,19.63,21.47,20.43,20.14,20.3
ALLSKY_SFC_SW_DWN,2004,19.89,19.59,20.27,21.43,20.25,19.31,18.13,16.97,19.3,21.43,19.61,19.89,19.67
ALLSKY_SFC_SW_DWN,2005,18.08,18.69,20.28,21.56,21.6,20.16,18.19,17.23,19.39,20.39,20.32,20.43,19.69
ALLSKY_SFC_SW_DWN,2006,19.67,20.95,20.26,22.01,20.0,19.52,18.67,16.91,17.76,20.4,20.71,18.93,19.63
ALLSKY_SFC_SW_DWN,2007,18.24,20.59,20.88,20.49,20.13,19.88,17.83,17.31,19.55,20.48,19.91,18.51,19.47
ALLSKY_SFC_SW_DWN,2008,20.18,19.87,21.92,21.15,20.71,20.44,17.65,17.58,17.44,20.62,20.65,19.42,19.8
ALLSKY_SFC_SW_DWN,2009,19.37,19.47,20.13,22.36,21.76,19.6,18.03,17.7,18.97,19.83,19.91,20.49,19.8
ALLSKY_SFC_SW_DWN,2010,21.43,21.91,19.84,20.46,20.52,20.05,16.84,16.56,17.89,19.3,19.7,20.42,19.56
ALLSKY_SFC_SW_DWN,2011,19.64,19.72,22.27,21.59,20.7,19.37,18.32,16.92,17.49,20.09,21.88,19.9,19.82
ALLSKY_SFC_SW_DWN,2012,19.78,19.86,20.41,21.4,19.82,19.53,16.81,16.49,18.69,20.54,20.74,19.45,19.45
ALLSKY_SFC_SW_DWN,2013,19.91,20.41,20.94,21.18,21.64,19.72,18.13,16.47,18.44,20.64,21.16,19.77,19.86
ALLSKY_SFC_SW_DWN,2014,19.28,20.83,22.23,20.78,20.88,20.02,18.87,17.15,18.37,20.92,20.75,19.64,19.97
ALLSKY_SFC_SW_DWN,2015,19.84,20.87,19.95,21.56,21.0,20.33,18.13,16.38,19.15,20.13,20.81,17.9,19.65
ALLSKY_SFC_SW_DWN,2016,18.94,19.09,21.13,22.57,21.37,18.5,17.55,17.03,18.39,21.17,20.16,18.86,19.56
ALLSKY_SFC_SW_DWN,2017,19.9,20.89,23.66,21.62,20.25,19.6,18.71,16.26,17.86,21.79,20.81,17.58,19.9
ALLSKY_SFC_SW_DWN,2018,19.07,20.31,21.78,21.51,21.27,18.96,17.18,15.84,18.24,19.87,21.14,19.62,19.56
ALLSKY_SFC_SW_DWN,2019,20.83,21.28,21.74,21.42,20.01,19.96,17.04,17.07,18.42,17.96,21.26,20.99,19.82
ALLSKY_SFC_SW_DWN,2020,19.43,20.68,21.4,21.95,21.24,18.74,17.48,16.57,17.84,20.63,20.99,20.51,19.78
ALLSKY_SFC_SW_DWN,2021,21.6,21.08,20.22,23.29,21.9,20.14,17.64,16.4,17.51,21.42,21.25,19.63,20.16
ALLSKY_SFC_SW_DWN,2022,20.23,21.6,19.43,20.83,20.22,19.66,18.15,16.52,15.94,20.58,20.96,19.32,19.44
PRECTOTCORR,2003,0.01,0.1,0.42,2.09,3.67,6.15,5.11,9.63,6.08,3.5,0.61,0.0,3.13
PRECTOTCORR,2004,0.24,0.02,0.04,2.16,3.79,4.69,7.14,6.55,6.02,1.34,1.18,0.0,2.77
PRECTOTCORR,2005,0.02,0.12,0.29,1.45,3.03,4.94,6.71,6.75,5.89,1.67,0.0,0.0,2.59
PRECTOTCORR,2006,0.0,0.03,0.03,0.98,3.37,2.94,6.73,8.15,7.26,2.47,0.0,0.0,2.68
PRECTOTCORR,2007,0.0,0.02,0.4,2.02,3.54,4.28,7.47,10.97,4.91,0.94,0.25,0.03,2.93
PRECTOTCORR,2008,0.0,0.0,0.16,1.41,1.76,4.98,6.31,10.28,6.46,2.04,0.0,0.02,2.8
PRECTOTCORR,2009,0.0,0.06,0.12,1.83,2.11,5.88,6.52,10.0,5.85,3.31,0.54,0.0,3.04
PRECTOTCORR,2010,0.0,0.03,0.05,1.87,4.36,5.33,5.82,8.59,7.43,3.45,0.18,0.0,3.11
PRECTOTCORR,2011,0.0,0.24,0.5,1.21,3.22,3.43,5.82,9.37,5.75,2.47,0.0,0.0,2.69
PRECTOTCORR,2012,0.0,0.47,0.06,1.66,4.61,4.97,7.06,8.96,5.47,4.16,0.26,0.0,3.16
PRECTOTCORR,2013,0.0,0.68,0.68,3.55,2.8,5.03,4.71,6.84,4.16,1.43,0.08,0.0,2.5
PRECTOTCORR,2014,0.07,0.01,0.32,2.53,2.52,3.99,4.07,7.16,7.01,1.74,0.18,0.0,2.48
PRECTOTCORR,2015,0.0,0.36,0.11,0.18,2.62,3.11,7.24,9.71,10.32,2.64,0.01,0.0,3.04
PRECTOTCORR,2016,0.0,0.01,0.52,2.69,2.93,5.46,7.27,8.34,8.11,1.36,0.0,0.0,3.06
PRECTOTCORR,2017,0.0,0.0,0.05,1.87,3.22,8.31,8.37,8.29,5.94,1.8,0.02,0.0,3.17
PRECTOTCORR,2018,0.0,0.19,0.38,0.49,3.15,4.59,11.35,9.82,7.77,2.46,0.0,0.0,3.38
