-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  7.0391   Longitude 1.836 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,18.06,18.92,18.99,19.23,20.09,16.86,16.29,15.34,16.56,19.78,19.26,18.55,18.16
ALLSKY_SFC_SW_DWN,2004,18.35,18.11,18.37,19.29,18.13,17.21,15.72,15.35,17.26,19.43,18.99,18.05,17.85
ALLSKY_SFC_SW_DWN,2005,17.45,17.76,19.16,18.8,19.41,16.3,14.52,14.65,15.82,18.81,19.39,18.04,17.51
ALLSKY_SFC_SW_DWN,2006,17.4,18.59,18.58,20.14,18.38,18.8,16.51,14.54,16.0,19.02,19.34,17.97,17.93
ALLSKY_SFC_SW_DWN,2007,17.21,18.48,19.33,19.45,18.41,17.48,15.73,14.58,16.86,18.46,19.09,17.43,17.7
ALLSKY_SFC_SW_DWN,2008,18.7,17.39,19.25,19.25,18.92,18.14,16.07,14.96,15.9,18.79,18.94,17.71,17.83
ALLSKY_SFC_SW_DWN,2009,18.1,18.37,18.04,19.69,19.32,17.7,16.04,13.87,15.81,18.3,19.07,18.58,17.73
ALLSKY_SFC_SW_DWN,2010,18.07,19.63,17.69,20.03,18.53,17.61,16.59,14.62,16.38,18.02,18.79,18.94,17.89
ALLSKY_SFC_SW_DWN,2011,17.76,18.25,20.35,20.1,18.16,16.52,14.95,14.43,16.17,18.6,19.78,18.35,17.78
ALLSKY_SFC_SW_DWN,2012,17.78,17.15,18.76,19.45,19.35,16.59,15.01,15.18,16.0,18.23,19.01,18.0,17.54
ALLSKY_SFC_SW_DWN,2013,18.82,18.33,19.61,19.76,19.23,17.64,15.6,16.44,15.79,18.82,18.97,18.21,18.1
ALLSKY_SFC_SW_DWN,2014,17.64,17.8,19.73,19.96,18.54,18.55,15.51,14.45,16.03,19.01,18.34,17.93,17.79
ALLSKY_SFC_SW_DWN,2015,17.8,18.06,18.76,18.97,19.42,17.08,16.23,14.58,15.81,18.58,19.6,17.28,17.68
ALLSKY_SFC_SW_DWN,2016,17.4,17.78,19.25,20.86,18.53,16.18,15.5,15.07,16.83,19.44,19.26,17.41,17.79
ALLSKY_SFC_SW_DWN,2017,17.95,18.14,20.91,19.95,18.87,17.45,15.72,14.11,14.95,19.01,18.98,16.52,17.71
ALLSKY_SFC_SW_DWN,2018,17.77,17.55,20.5,18.98,18.69,17.82,15.58,16.0,16.45,18.67,19.32,17.58,17.91
ALLSKY_SFC_SW_DWN,2019,18.21,18.23,20.23,20.19,18.68,17.01,15.91,16.03,15.57,15.79,19.21,19.23,17.85
ALLSKY_SFC_SW_DWN,2020,18.09,18.51,18.87,20.38,19.74,17.52,14.74,16.89,14.63,18.54,19.43,18.3,17.97
ALLSKY_SFC_SW_DWN,2021,18.04,17.91,17.91,20.61,20.07,17.8,16.91,15.53,16.25,19.65,19.37,17.3,18.11
ALLSKY_SFC_SW_DWN,2022,18.5,19.22,18.73,18.27,18.65,16.98,15.9,14.79,14.85,18.57,19.86,18.94,17.76
PRECTOTCORR,2003,0.85,0.54,0.78,4.01,3.0,8.21,8.04,4.52,7.34,4.41,1.1,0.55,3.62
PRECTOTCORR,2004,0.99,0.57,2.22,4.64,5.25,4.2,7.45,4.8,5.95,4.84,2.16,0.71,3.66
PRECTOTCORR,2005,0.23,1.71,2.88,3.45,3.88,6.38,3.58,2.98,5.16,3.42,1.16,0.32,2.93
PRECTOTCORR,2006,0.63,1.18,2.77,1.86,5.08,4.83,4.48,4.49,7.32,3.45,0.81,0.16,3.1
PRECTOTCORR,2007,0.06,0.77,1.49,3.4,6.78,5.23,9.52,5.89,10.23,5.14,0.76,0.99,4.21
PRECTOTCORR,2008,0.96,0.22,1.28,1.73,3.18,8.27,9.82,4.36,7.23,3.47,0.7,1.65,3.58
PRECTOTCORR,2009,0.79,1.17,3.05,6.55,3.92,6.74,7.09,4.07,4.41,5.09,1.07,0.1,3.68
PRECTOTCORR,2010,0.35,0.99,3.64,3.31,5.14,6.4,4.62,4.8,9.0,6.35,1.91,0.49,3.93
PRECTOTCORR,2011,0.01,2.91,0.91,3.77,3.83,5.48,7.43,4.59,5.21,6.38,0.95,0.0,3.46
PRECTOTCORR,2012,0.31,1.95,1.37,4.35,5.26,6.85,4.43,2.71,5.52,5.28,1.24,1.21,3.37
PRECTOTCORR,2013,0.68,0.48,3.89,4.42,4.5,3.31,3.65,1.46,4.86,4.12,1.0,0.23,2.73
PRECTOTCORR,2014,1.66,0.67,2.51,2.33,3.87,4.24,3.68,5.5,8.66,3.93,1.24,0.58,3.25
PRECTOTCORR,2015,0.2,1.05,3.61,1.54,1.8,3.57,3.36,2.61,3.28,3.84,0.54,0.13,2.14
PRECTOTCORR,2016,0.05,0.25,3.75,3.2,3.65,4.74,4.41,3.48,6.01,3.8,0.47,0.29,2.85
PRECTOTCORR,2017,0.22,0.42,1.76,3.06,3.29,6.01,7.46,3.46,5.32,1.61,1.37,0.35,2.87
PRECTOTCORR,2018,0.01,1.99,2.2,2.04,2.96,4.48,5.57,5.95,6.3,4.44,0.98,0.08,3.09
PRECTOTCORR,2019,0.66,1.19,3.23,2.57,5.53,5.46,6.69,2.64,9.88,9.16,1.48,0.28,4.08
PRECTOTCORR,2020,0.06,0.67,1.97,3.56,9.79,10.38,3.72,1.07,6.75,4.96,0.98,0.55,3.7
PRECTOTCORR,2021,1.11,0.43,3.62,2.79,2.33,4.24,4.56,4.63,5.89,4.05,1.83,0.21,2.99
PRECTOTCORR,2022,0.62,0.72,2.47,4.73,3.84,6.78,4.19,4.1,8.19,5.79,0.76,0.43,3.56
RH2M,2003,71.96,74.18,73.9,81.68,82.86,88.98,87.74,87.44,88.95,90.32,86.37,75.95,82.55
RH2M,2004,73.73,75.24,76.59,85.49,87.3,88.33,88.9,88.05,89.7,89.4,88.33,83.95,84.6
RH2M,2005,70.07,80.62,84.38,86.27,88.18,88.83,87.61,84.58,85.92,88.51,84.21,78.56,83.98
RH2M,2006,76.67,75.01,80.51,79.81,86.71,88.75,86.98,86.11,88.98,88.15,79.69,72.16,82.5
RH2M,2007,58.42,71.48,74.41,82.06,87.63,89.2,88.46,89.35,90.04,91.06,88.65,78.98,82.51
RH2M,2008,68.55,74.76,83.49,83.06,84.66,88.94,89.25,89.17,89.76,89.15,84.51,81.18,83.89
RH2M,2009,77.39,84.72,84.22,86.74,87.83,89.04,88.97,88.25,88.62,88.85,83.73,79.33,85.63
RH2M,2010,75.39,75.35,80.44,83.64,87.66,89.84,87.89,88.01,89.37,89.6,87.59,79.71,84.58
RH2M,2011,72.84,80.6,81.88,82.98,86.71,88.63,89.05,88.34,88.24,88.83,85.83,72.03,83.83
RH2M,2012,71.64,76.4,78.66,83.21,84.83,89.04,88.02,86.66,86.82,88.16,86.75,77.92,83.18
RH2M,2013,72.27,73.55,80.71,82.85,87.31,86.73,85.39,78.71,84.49,84.82,80.58,70.6,80.69
RH2M,2014,73.2,67.42,75.39,77.86,81.62,85.5,82.66,84.51,88.73,88.02,85.67,73.11,80.37
RH2M,2015,64.09,74.05,76.65,79.94,78.97,83.12,82.41,79.27,79.93,84.46,76.14,53.4,76.01
RH2M,2016,52.21,60.13,75.44,79.36,82.19,85.53,86.07,84.25,86.34,86.68,79.93,72.27,77.57
RH2M,2017,66.75,67.0,74.59,78.4,81.21,85.48,87.58,87.0,87.59,86.37,81.82,71.67,79.68
RH2M,2018,63.9,71.77,78.41,78.87,82.3,83.6,87.08,85.66,88.72,88.02,83.84,70.35,80.24
RH2M,2019,70.78,72.27,79.54,80.4,83.62,88.23,88.27,86.61,89.11,89.47,85.49,74.08,82.37
RH2M,2020,68.38,68.11,77.54,80.32,85.71,89.35,89.06,85.91,87.83,87.69,83.44,78.61,81.87
RH2M,2021,74.53,72.9,78.23,81.26,80.9,82.76,84.03,84.17,86.71,87.58,86.12,73.63,81.1
RH2M,2022,66.79,68.51,77.08,81.4,83.21,86.77,86.83,85.54,88.03,87.48,82.15,75.1,80.8
T2M,2003,26.62,28.53,28.75,27.61,27.19,25.25,24.64,24.54,25.09,25.69,26.06,25.2,26.25
T2M,2004,26.2,27.03,27.53,26.93,26.36,25.34,24.35,24.59,25.04,25.48,25.98,26.5,25.94
