-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  10.4293   Longitude 1.7237 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 402.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,20.01,20.96,21.31,22.03,22.49,19.44,17.73,16.77,19.0,21.7,20.02,20.09,20.12
ALLSKY_SFC_SW_DWN,2004,19.96,19.54,20.31,20.74,19.3,19.32,18.25,17.48,18.51,21.13,19.49,19.8,19.49
ALLSKY_SFC_SW_DWN,2005,17.78,18.42,20.15,21.01,21.42,19.79,17.94,16.42,18.87,20.18,20.01,20.34,19.36
ALLSKY_SFC_SW_DWN,2006,19.55,20.53,20.4,21.9,19.66,19.23,17.78,16.85,17.63,20.06,20.51,18.78,19.39
ALLSKY_SFC_SW_DWN,2007,17.95,20.68,20.82,20.41,20.19,20.32,17.14,17.07,19.04,20.1,19.61,18.42,19.3
ALLSKY_SFC_SW_DWN,2008,20.09,19.62,21.57,21.32,20.8,19.54,17.31,16.65,17.35,20.29,20.73,19.52,19.56
ALLSKY_SFC_SW_DWN,2009,19.41,19.32,20.29,21.58,21.44,19.73,17.74,17.39,18.65,19.46,19.82,20.33,19.6
ALLSKY_SFC_SW_DWN,2010,21.33,21.69,19.79,20.02,20.51,19.33,16.24,16.61,17.15,18.8,19.56,20.32,19.26
ALLSKY_SFC_SW_DWN,2011,19.58,19.76,21.86,21.58,20.6,19.55,18.62,17.08,17.37,19.75,21.75,19.85,19.78
ALLSKY_SFC_SW_DWN,2012,20.05,19.64,20.45,21.0,20.06,19.07,17.2,16.42,17.72,20.08,20.44,19.28,19.28
ALLSKY_SFC_SW_DWN,2013,19.8,20.34,20.94,21.13,21.47,19.38,17.95,15.89,18.04,20.76,20.88,19.68,19.68
ALLSKY_SFC_SW_DWN,2014,19.21,20.71,21.75,20.62,20.12,20.12,18.22,16.64,17.46,20.13,20.44,19.83,19.59
ALLSKY_SFC_SW_DWN,2015,19.85,20.99,20.04,21.54,21.14,20.06,17.92,15.76,18.08,19.98,20.72,18.09,19.5
ALLSKY_SFC_SW_DWN,2016,18.78,19.16,20.75,22.48,21.02,18.57,17.23,16.88,18.13,20.68,19.93,18.89,19.37
ALLSKY_SFC_SW_DWN,2017,20.02,20.82,23.53,21.45,20.03,18.78,18.03,16.16,17.85,21.56,20.79,17.84,19.73
ALLSKY_SFC_SW_DWN,2018,19.11,20.6,21.77,21.29,20.92,18.16,16.35,16.49,18.01,19.4,21.01,19.71,19.39
ALLSKY_SFC_SW_DWN,2019,20.77,21.23,21.58,20.98,20.1,19.98,17.5,16.99,17.58,17.7,21.53,21.0,19.73
ALLSKY_SFC_SW_DWN,2020,19.4,20.9,21.19,21.25,20.91,18.44,17.69,16.61,17.18,20.42,21.02,20.66,19.63
ALLSKY_SFC_SW_DWN,2021,21.59,21.04,20.34,23.02,21.86,19.9,17.18,15.83,17.12,20.66,21.03,19.6,19.92
ALLSKY_SFC_SW_DWN,2022,20.34,21.62,19.4,20.85,19.96,19.77,17.59,16.09,15.67,20.38,20.92,19.38,19.31
PRECTOTCORR,2003,0.02,0.1,0.45,2.47,4.37,7.03,5.55,11.22,7.12,4.02,0.67,0.0,3.61
PRECTOTCORR,2004,0.5,0.03,0.07,2.79,4.25,5.59,8.93,6.83,6.82,1.86,1.44,0.0,3.27
PRECTOTCORR,2005,0.03,0.13,0.38,1.72,3.93,6.02,8.58,8.25,6.76,1.93,0.0,0.0,3.16
PRECTOTCORR,2006,0.01,0.09,0.06,1.24,4.05,3.17,7.96,9.15,8.44,2.71,0.0,0.0,3.1
PRECTOTCORR,2007,0.0,0.05,0.47,2.73,4.04,4.92,8.36,12.73,5.73,1.07,0.37,0.05,3.4
PRECTOTCORR,2008,0.0,0.0,0.22,2.0,1.98,4.87,7.16,11.05,7.09,2.18,0.01,0.05,3.06
PRECTOTCORR,2009,0.0,0.08,0.16,2.3,2.43,6.61,7.26,11.84,6.14,3.6,0.67,0.0,3.45
PRECTOTCORR,2010,0.0,0.04,0.09,2.19,4.89,6.3,6.29,9.08,7.87,3.81,0.18,0.0,3.41
PRECTOTCORR,2011,0.0,0.29,0.63,1.3,3.63,3.79,6.19,11.03,6.23,2.61,0.0,0.0,3.0
PRECTOTCORR,2012,0.0,0.63,0.09,1.83,5.11,5.53,7.57,9.58,6.25,4.12,0.28,0.0,3.43
PRECTOTCORR,2013,0.0,0.71,0.8,3.94,2.98,5.54,5.12,7.32,4.24,1.56,0.09,0.0,2.7
PRECTOTCORR,2014,0.11,0.01,0.39,3.02,2.94,4.25,4.9,7.75,8.2,1.97,0.21,0.0,2.82
PRECTOTCORR,2015,0.0,0.35,0.17,0.41,4.28,4.36,7.99,9.71,10.94,3.48,0.04,0.0,3.5
PRECTOTCORR,2016,0.0,0.04,0.92,3.14,6.19,8.2,7.12,9.42,10.28,1.96,0.0,0.0,3.94
PRECTOTCORR,2017,0.0,0.0,0.14,3.07,5.95,10.92,12.07,11.69,7.79,2.08,0.05,0.0,4.51
PRECTOTCORR,2018,0.0,0.6,0.54,0.89,7.1,7.0,11.95,9.36,8.99,2.64,0.0,0.0,4.12
PRECTOTCORR,2019,0.0,0.0,0.79,4.12,3.37,7.65,13.01,7.1,9.15,7.8,0.13,0.0,4.45
PRECTOTCORR,2020,0.0,0.0,0.24,2.75,4.2,6.51,7.2,6.12,11.58,7.21,0.08,0.0,3.83
PRECTOTCORR,2021,0.0,0.0,0.13,2.31,4.18,7.46,9.29,11.48,5.4,4.94,0.13,0.0,3.81
PRECTOTCORR,2022,0.22,0.0,0.24,4.91,4.69,6.67,6.22,10.53,12.37,2.83,0.02,0.0,4.07
RH2M,2003,26.0,27.78,26.59,60.14,64.36,81.42,82.92,86.31,84.16,80.55,66.9,49.35,61.52
RH2M,2004,42.35,32.79,29.78,65.56,75.56,80.33,84.32,86.42,85.03,79.65,67.16,43.63,64.44
RH2M,2005,36.48,36.95,47.87,57.76,71.92,80.69,84.86,86.7,83.45,77.51,56.21,40.88,63.59
