-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  11.6607   Longitude 3.2603 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 240.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,20.62,21.52,21.89,22.49,23.11,20.51,19.8,17.54,19.8,22.02,20.83,20.34,20.87
ALLSKY_SFC_SW_DWN,2004,20.25,19.74,19.99,21.63,21.17,21.06,19.04,18.21,20.62,22.17,19.98,20.23,20.34
ALLSKY_SFC_SW_DWN,2005,17.93,19.62,20.18,21.81,21.7,20.65,19.43,18.43,20.95,21.27,20.23,20.78,20.25
ALLSKY_SFC_SW_DWN,2006,19.93,21.37,21.44,22.4,20.74,20.18,19.92,17.69,18.14,21.91,20.67,18.87,20.26
ALLSKY_SFC_SW_DWN,2007,17.74,21.25,21.15,20.59,20.56,21.3,18.68,19.55,20.12,21.5,19.96,18.84,20.09
ALLSKY_SFC_SW_DWN,2008,19.97,19.74,22.48,21.77,21.32,21.93,18.43,18.29,19.0,20.74,21.1,20.14,20.41
ALLSKY_SFC_SW_DWN,2009,19.74,19.57,20.4,22.95,21.58,20.46,19.94,18.05,19.24,20.76,20.25,20.98,20.33
ALLSKY_SFC_SW_DWN,2010,22.1,22.49,20.09,20.28,20.71,20.31,18.34,17.27,19.45,20.12,20.01,20.84,20.15
ALLSKY_SFC_SW_DWN,2011,20.18,19.46,22.55,22.39,21.33,20.15,19.92,18.32,19.41,20.91,22.1,19.9,20.55
ALLSKY_SFC_SW_DWN,2012,20.39,19.77,21.29,21.89,20.12,19.74,17.64,17.24,20.4,21.2,20.88,20.17,20.06
ALLSKY_SFC_SW_DWN,2013,20.08,20.9,21.48,21.97,22.13,20.57,20.07,17.68,19.8,21.62,21.17,19.84,20.6
ALLSKY_SFC_SW_DWN,2014,20.0,21.61,22.7,21.66,21.28,20.43,20.18,18.14,19.07,21.62,20.99,20.1,20.64
ALLSKY_SFC_SW_DWN,2015,19.39,21.89,20.42,22.03,21.41,21.29,19.26,17.82,19.72,20.72,20.93,17.57,20.18
ALLSKY_SFC_SW_DWN,2016,18.88,19.74,20.62,22.43,21.65,18.49,19.09,17.51,19.42,21.3,20.13,19.52,19.9
