-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  9.9505   Longitude 3.1917 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 366.09 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,19.32,20.43,20.2,21.52,21.81,18.51,16.82,15.43,17.5,19.99,20.16,19.67,19.27
ALLSKY_SFC_SW_DWN,2004,19.01,19.42,19.99,21.36,18.63,18.21,16.06,15.58,18.61,19.85,19.19,19.11,18.74
ALLSKY_SFC_SW_DWN,2005,17.89,18.61,20.61,20.31,20.06,18.12,16.13,14.66,17.24,18.87,20.54,19.45,18.53
ALLSKY_SFC_SW_DWN,2006,18.01,19.8,19.72,21.73,19.16,18.76,16.79,14.24,15.96,18.12,20.0,18.47,18.38
ALLSKY_SFC_SW_DWN,2007,17.73,20.03,20.44,20.68,20.15,18.63,16.31,15.45,17.9,18.9,18.8,17.81,18.55
ALLSKY_SFC_SW_DWN,2008,19.04,18.45,21.51,20.58,19.93,19.43,16.08,15.46,17.0,20.22,19.83,18.63,18.85
ALLSKY_SFC_SW_DWN,2009,18.39,19.15,19.7,21.03,20.57,18.3,16.37,14.92,17.79,17.74,19.04,19.8,18.56
ALLSKY_SFC_SW_DWN,2010,19.87,21.11,19.52,20.35,19.16,18.56,15.91,15.59,16.64,17.96,19.55,19.87,18.65
ALLSKY_SFC_SW_DWN,2011,19.0,18.87,22.05,20.93,18.71,17.71,16.21,14.98,16.25,18.74,20.67,19.18,18.6
ALLSKY_SFC_SW_DWN,2012,18.5,18.64,20.0,20.33,18.91,18.61,15.17,14.54,16.26,18.97,19.33,18.87,18.17
ALLSKY_SFC_SW_DWN,2013,19.09,19.0,20.61,20.84,20.53,18.27,15.9,15.78,17.53,19.5,20.67,19.16,18.9
ALLSKY_SFC_SW_DWN,2014,18.31,19.09,21.32,21.02,20.14,19.19,17.19,14.51,16.64,18.93,18.82,18.9,18.67
ALLSKY_SFC_SW_DWN,2015,19.17,19.8,19.52,20.65,20.63,17.37,16.49,14.71,17.32,17.13,20.52,18.2,18.44
ALLSKY_SFC_SW_DWN,2016,18.63,18.66,20.49,22.23,20.63,17.49,14.81,14.83,17.29,20.16,20.0,17.94,18.59
ALLSKY_SFC_SW_DWN,2017,18.75,19.61,22.88,20.58,20.15,18.77,16.99,14.45,16.93,19.4,20.48,16.75,18.8
ALLSKY_SFC_SW_DWN,2018,18.53,19.44,21.14,20.15,19.99,17.75,16.03,15.0,17.41,18.97,20.41,18.8,18.63
ALLSKY_SFC_SW_DWN,2019,19.84,19.4,21.39,20.74,19.7,16.86,16.3,15.28,16.83,16.95,20.12,20.78,18.68
ALLSKY_SFC_SW_DWN,2020,19.04,19.69,20.66,21.92,20.34,17.9,15.26,15.58,15.98,19.71,20.78,19.87,18.89
ALLSKY_SFC_SW_DWN,2021,19.94,19.79,19.57,22.13,21.31,19.86,16.07,15.49,17.26,19.98,19.5,18.57,19.11
ALLSKY_SFC_SW_DWN,2022,19.39,20.77,19.26,19.94,19.03,18.22,16.02,14.74,15.05,18.99,20.84,19.45,18.46
PRECTOTCORR,2003,0.06,0.18,0.34,2.63,3.68,5.49,5.56,10.65,6.45,2.4,0.45,0.0,3.18
PRECTOTCORR,2004,0.33,0.1,0.2,2.61,4.29,5.2,7.03,4.84,5.45,1.63,0.89,0.0,2.72
PRECTOTCORR,2005,0.0,0.11,1.0,0.86,2.35,5.32,7.82,6.27,5.18,2.0,0.04,0.0,2.6
PRECTOTCORR,2006,0.14,0.05,0.16,0.9,2.85,2.56,6.97,9.64,7.05,2.44,0.05,0.0,2.76
PRECTOTCORR,2007,0.0,0.16,0.54,2.55,4.83,5.21,5.3,13.96,6.35,1.61,0.29,0.07,3.43
PRECTOTCORR,2008,0.0,0.05,0.24,1.28,1.4,4.99,5.97,6.77,7.06,2.32,0.01,0.3,2.54
PRECTOTCORR,2009,0.25,0.09,0.51,1.7,2.13,4.66,6.52,8.87,5.99,3.58,0.45,0.03,2.92
PRECTOTCORR,2010,0.01,0.13,0.39,1.68,4.36,6.04,5.55,8.91,8.06,4.52,0.52,0.03,3.37
PRECTOTCORR,2011,0.0,0.49,0.38,1.07,3.37,3.29,5.83,8.38,5.47,2.71,0.08,0.0,2.61
PRECTOTCORR,2012,0.01,0.44,0.15,2.03,4.78,5.82,6.74,8.81,7.16,2.62,0.4,0.07,3.26
PRECTOTCORR,2013,0.05,0.22,0.68,2.2,2.71,5.07,3.69,5.31,3.85,2.04,0.13,0.01,2.17
PRECTOTCORR,2014,0.17,0.08,0.89,2.23,4.04,3.16,3.39,8.28,7.85,2.61,0.32,0.0,2.77
PRECTOTCORR,2015,0.0,0.4,3.18,0.69,3.04,2.49,4.95,7.46,6.48,3.61,0.11,0.0,2.72
PRECTOTCORR,2016,0.0,0.01,1.15,3.15,5.04,4.41,5.69,5.88,7.83,1.95,0.0,0.01,2.93
PRECTOTCORR,2017,0.0,0.02,0.19,3.51,5.44,10.77,8.22,12.27,6.06,1.73,0.04,0.13,4.05
PRECTOTCORR,2018,0.0,0.51,1.5,0.99,5.98,8.03,7.55,8.31,5.35,2.9,0.02,0.0,3.45
PRECTOTCORR,2019,0.01,0.02,0.35,2.43,6.62,5.42,6.69,6.12,7.94,5.9,0.15,0.0,3.49
PRECTOTCORR,2020,0.0,0.0,1.33,3.6,3.5,5.48,6.7,5.14,10.16,4.13,0.02,0.0,3.34
PRECTOTCORR,2021,0.0,0.0,0.45,1.71,3.31,9.35,11.05,13.91,6.56,2.4,0.86,0.0,4.16
PRECTOTCORR,2022,2.03,0.05,1.22,2.49,3.66,6.69,5.27,7.5,14.13,2.83,0.06,0.0,3.84
RH2M,2003,33.64,33.13,31.9,65.57,67.21,81.56,83.55,86.59,85.03,81.41,65.62,48.75,63.8
RH2M,2004,43.6,32.3,34.47,65.85,78.91,81.85,84.55,85.35,84.87,79.11,65.82,40.94,64.87
RH2M,2005,30.86,40.19,56.64,58.33,68.41,79.28,84.59,85.18,82.66,77.15,52.27,38.35,62.95
RH2M,2006,36.53,31.28,42.24,48.63,72.28,74.15,80.0,87.82,85.8,81.67,57.18,44.87,62.07
RH2M,2007,37.63,30.65,38.01,70.31,79.07,83.72,83.98,87.27,85.62,83.07,68.85,56.74,67.27
RH2M,2008,45.69,38.38,49.24,53.66,65.17,74.05,83.78,86.0,85.34,78.88,56.65,51.63,64.14
RH2M,2009,42.46,48.71,45.72,66.25,69.7,75.4,82.54,85.89,86.07,83.57,67.17,48.03,66.87
RH2M,2010,37.92,41.45,45.94,62.29,77.8,81.01,85.31,87.09,87.06,85.8,73.7,53.69,68.39
