-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  8.5266   Longitude 2.4861 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 243.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,18.97,20.17,20.05,20.42,20.49,17.03,15.4,14.3,16.22,19.06,19.42,19.3,18.39
ALLSKY_SFC_SW_DWN,2004,18.89,18.71,19.57,20.21,17.79,17.03,15.63,14.0,17.33,18.5,18.77,18.29,17.88
ALLSKY_SFC_SW_DWN,2005,17.77,18.31,20.06,19.1,19.35,15.97,14.42,13.47,14.72,18.08,19.65,18.88,17.48
ALLSKY_SFC_SW_DWN,2006,18.17,19.71,19.34,20.67,18.63,18.29,15.55,12.67,15.04,17.37,19.56,18.26,17.75
ALLSKY_SFC_SW_DWN,2007,17.43,19.52,20.46,20.06,19.06,17.5,15.13,15.23,16.88,17.4,18.22,17.51,17.85
ALLSKY_SFC_SW_DWN,2008,19.4,18.17,20.24,19.51,19.76,18.03,15.47,14.31,15.0,18.81,18.95,18.2,17.99
ALLSKY_SFC_SW_DWN,2009,18.44,18.97,18.9,20.54,19.83,17.73,15.87,13.14,15.79,16.98,18.68,19.41,17.84
ALLSKY_SFC_SW_DWN,2010,19.51,20.82,18.57,19.51,18.46,17.68,15.03,14.26,16.0,16.8,18.66,19.43,17.87
ALLSKY_SFC_SW_DWN,2011,18.62,18.87,21.0,20.34,18.26,16.42,14.51,13.72,15.49,17.5,19.16,19.08,17.74
ALLSKY_SFC_SW_DWN,2012,18.55,18.18,19.61,19.89,18.7,17.02,14.09,13.85,14.68,16.98,18.45,18.56,17.37
