-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  9.5935   Longitude 2.991 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 372.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,19.2,20.49,20.82,21.4,21.71,18.16,16.93,15.39,17.7,19.79,19.96,19.62,19.25
ALLSKY_SFC_SW_DWN,2004,19.01,19.01,20.01,21.08,18.6,17.59,16.16,15.91,18.47,19.7,19.24,18.91,18.63
ALLSKY_SFC_SW_DWN,2005,17.7,18.41,20.36,20.69,20.74,17.98,16.54,14.61,16.89,18.72,20.18,19.48,18.52
ALLSKY_SFC_SW_DWN,2006,18.56,20.23,20.1,21.79,19.33,18.83,16.54,14.7,16.4,18.08,19.97,18.25,18.54
ALLSKY_SFC_SW_DWN,2007,17.28,19.74,20.74,20.5,19.59,18.47,15.83,16.75,17.98,18.58,18.95,17.5,18.48
ALLSKY_SFC_SW_DWN,2008,19.32,18.15,21.35,20.73,20.1,19.09,16.76,15.48,16.51,20.19,19.69,18.35,18.81
ALLSKY_SFC_SW_DWN,2009,18.6,19.27,19.92,21.48,20.67,18.41,16.39,15.39,17.41,18.15,19.2,19.78,18.71
ALLSKY_SFC_SW_DWN,2010,20.0,21.25,19.08,20.34,19.36,18.39,15.87,15.51,16.74,17.94,19.16,19.64,18.58
ALLSKY_SFC_SW_DWN,2011,18.64,19.14,21.95,21.4,18.99,17.6,16.48,15.68,16.08,18.46,20.44,19.13,18.66
ALLSKY_SFC_SW_DWN,2012,18.64,18.89,20.03,20.82,19.17,18.26,15.57,15.2,16.07,18.62,19.66,18.7,18.3
ALLSKY_SFC_SW_DWN,2013,19.36,19.31,20.73,21.46,20.76,18.12,15.72,15.3,16.92,19.07,20.53,18.88,18.84
ALLSKY_SFC_SW_DWN,2014,18.37,19.5,21.63,20.87,19.99,18.69,16.88,14.23,16.8,18.58,18.88,19.17,18.62
ALLSKY_SFC_SW_DWN,2015,19.19,19.91,19.53,20.88,20.74,17.89,16.6,14.53,16.75,17.46,20.24,17.53,18.42
ALLSKY_SFC_SW_DWN,2016,18.29,18.61,21.06,22.14,20.58,17.34,15.3,15.18,17.17,19.99,19.77,17.95,18.61
ALLSKY_SFC_SW_DWN,2017,19.15,19.7,23.02,21.0,19.97,18.5,16.39,14.8,15.72,19.85,20.19,16.89,18.76
ALLSKY_SFC_SW_DWN,2018,18.32,19.36,21.02,20.44,20.4,18.08,15.83,15.28,17.02,18.8,20.19,18.84,18.62
ALLSKY_SFC_SW_DWN,2019,20.21,19.88,21.27,20.8,20.1,17.68,15.85,16.61,16.32,16.87,19.92,20.54,18.83
ALLSKY_SFC_SW_DWN,2020,18.96,19.71,20.87,21.98,20.99,17.6,14.85,15.89,16.08,19.05,20.59,20.01,18.87
ALLSKY_SFC_SW_DWN,2021,20.15,19.8,19.75,22.35,21.7,19.95,16.67,15.42,16.56,19.52,19.97,18.59,19.19
ALLSKY_SFC_SW_DWN,2022,19.54,20.72,19.94,19.9,19.09,18.62,16.42,14.69,14.86,19.35,20.73,19.31,18.58
PRECTOTCORR,2003,0.2,0.34,0.32,3.43,2.65,5.28,4.38,8.1,7.88,3.07,0.68,0.01,3.04
PRECTOTCORR,2004,0.67,0.22,0.41,3.92,3.75,4.35,5.91,3.75,5.26,2.8,1.24,0.0,2.69
PRECTOTCORR,2005,0.0,0.22,1.48,0.97,1.35,3.54,4.59,4.4,4.61,2.33,0.1,0.0,1.98
PRECTOTCORR,2006,0.34,0.12,0.37,1.03,2.87,2.06,5.73,8.12,7.08,2.44,0.13,0.0,2.54
PRECTOTCORR,2007,0.0,0.28,0.91,3.15,5.76,5.26,4.31,10.26,7.48,2.53,0.52,0.14,3.4
PRECTOTCORR,2008,0.0,0.2,0.45,1.32,1.61,5.97,6.53,4.73,7.51,3.06,0.03,0.57,2.67
PRECTOTCORR,2009,0.64,0.23,0.84,2.65,2.47,3.78,5.42,6.89,5.86,4.5,0.72,0.06,2.86
PRECTOTCORR,2010,0.01,0.31,0.8,2.56,3.95,4.66,4.97,6.92,9.81,4.89,0.99,0.18,3.35
PRECTOTCORR,2011,0.02,0.91,0.68,1.56,3.85,4.36,5.14,6.42,5.46,3.83,0.21,0.0,2.72
PRECTOTCORR,2012,0.03,0.76,0.25,3.08,4.77,5.66,6.02,6.83,8.6,4.01,0.8,0.2,3.42
PRECTOTCORR,2013,0.13,0.45,1.29,2.69,3.42,4.43,2.93,3.79,4.06,2.54,0.27,0.06,2.18
PRECTOTCORR,2014,0.32,0.16,1.45,2.29,4.64,3.08,2.77,7.64,6.87,4.09,0.67,0.0,2.85
PRECTOTCORR,2015,0.0,0.33,3.76,0.48,3.08,2.17,2.76,4.47,5.12,3.2,0.15,0.0,2.14
PRECTOTCORR,2016,0.0,0.01,1.56,2.55,3.28,2.89,5.99,4.07,7.07,2.49,0.02,0.01,2.5
PRECTOTCORR,2017,0.01,0.02,0.35,1.79,3.87,10.11,6.74,9.51,4.67,1.62,0.08,0.41,3.28
PRECTOTCORR,2018,0.0,0.47,1.0,1.32,3.4,5.46,5.54,6.27,4.64,2.82,0.07,0.0,2.6
PRECTOTCORR,2019,0.05,0.09,0.57,1.73,4.98,3.61,5.61,4.18,7.28,5.28,0.23,0.01,2.82
PRECTOTCORR,2020,0.0,0.0,1.53,2.37,3.18,4.27,4.83,2.78,7.54,4.04,0.04,0.0,2.55
PRECTOTCORR,2021,0.0,0.0,1.01,1.25,2.45,6.8,7.11,10.26,6.58,3.2,0.86,0.07,3.32
PRECTOTCORR,2022,2.23,0.01,0.79,2.39,2.67,7.63,3.56,7.7,9.91,2.76,0.05,0.0,3.32
RH2M,2003,34.96,39.4,37.93,71.13,71.53,82.3,83.79,86.43,85.45,82.41,66.55,48.33,65.95
RH2M,2004,44.82,37.43,42.4,71.83,82.0,83.12,85.03,85.09,85.46,81.25,70.11,46.15,67.95
RH2M,2005,33.35,48.87,64.16,64.78,69.21,78.24,82.79,82.07,80.54,76.62,47.24,35.87,63.72
RH2M,2006,40.48,37.32,49.84,55.18,74.59,75.58,79.34,88.11,86.15,82.53,57.52,42.04,64.23
RH2M,2007,35.52,36.07,44.69,75.72,82.37,85.38,85.55,87.6,86.26,84.3,71.61,58.11,69.59
RH2M,2008,46.59,40.71,57.77,60.29,69.1,78.37,85.12,86.58,85.83,80.62,61.48,57.15,67.57
RH2M,2009,51.15,58.13,54.51,72.84,74.5,78.21,83.0,85.96,86.11,83.98,67.65,48.9,70.45
RH2M,2010,39.67,47.36,55.52,69.05,80.59,81.89,85.37,86.94,87.06,86.71,76.15,56.57,71.19
RH2M,2011,51.63,62.54,64.18,63.35,78.81,83.07,84.37,86.85,84.63,81.94,60.16,41.3,70.27
RH2M,2012,40.11,51.79,47.35,73.43,78.31,82.98,86.62,87.13,87.22,84.24,73.09,61.93,71.2
RH2M,2013,56.87,57.8,67.63,70.18,78.83,81.54,81.81,81.31,81.92,72.9,55.89,37.21,68.71
RH2M,2014,38.04,32.68,55.5,69.82,77.23,77.14,77.92,85.97,85.7,81.8,68.79,40.79,66.12
RH2M,2015,34.1,47.8,53.61,58.72,72.26,75.1,76.86,82.28,83.64,77.5,49.46,33.53,62.14
RH2M,2016,25.04,24.64,57.25,68.23,70.33,74.31,84.82,84.91,85.33,77.88,58.85,44.32,63.11
RH2M,2017,35.78,28.36,45.69,62.38,75.09,81.55,86.21,87.09,85.6,77.41,64.72,57.44,65.83
RH2M,2018,41.72,48.22,58.97,68.26,74.59,81.29,85.41,85.74,86.56,81.59,61.43,45.63,68.38
RH2M,2019,39.55,39.18,54.7,64.36,74.37,80.72,83.76,85.57,86.4,86.34,68.26,49.15,67.85
RH2M,2020,41.28,31.71,58.6,70.1,72.44,80.7,84.13,80.2,84.97,77.95,59.1,47.39,65.81
RH2M,2021,34.42,27.9,53.85,60.09,68.45,81.04,82.79,88.46,85.66,81.79,72.32,61.06,66.71
RH2M,2022,56.36,42.81,60.6,71.24,73.67,81.4,84.38,86.23,87.11,80.05,65.75,54.87,70.53
T2M,2003,25.77,29.08,29.67,28.09,27.96,25.47,24.75,24.34,24.74,25.71,25.53,24.1,26.25
T2M,2004,25.32,27.43,28.78,28.18,26.38,25.45,24.47,24.59,24.84,25.62,25.84,26.11,26.08
T2M,2005,24.32,29.36,29.31,29.7,28.3,26.46,25.11,25.08,25.86,25.92,27.12,27.19,26.95
T2M,2006,27.95,30.01,29.89,30.3,27.37,26.69,25.84,24.29,24.6,25.75,24.28,23.18,26.65
T2M,2007,23.22,27.45,28.85,27.61,26.65,25.15,24.51,24.14,24.66,25.1,25.0,23.21,25.44
T2M,2008,21.87,24.72,29.05,29.24,28.05,26.09,24.47,24.14,24.64,25.19,25.05,25.16,25.64
T2M,2009,25.76,28.25,29.84,27.66,27.33,26.29,25.11,24.69,24.86,25.24,24.89,25.25,26.25
T2M,2010,26.42,29.24,28.78,28.69,27.03,26.01,24.52,24.52,24.37,24.81,25.32,23.41,26.07
T2M,2011,23.15,26.9,28.45,28.67,26.7,25.58,24.8,24.16,24.72,25.16,25.2,23.79,25.59
T2M,2012,25.28,28.07,28.8,27.28,26.38,25.26,24.25,23.96,24.18,25.16,25.31,23.18,25.58
T2M,2013,24.65,26.85,28.6,28.07,26.54,25.57,24.95,24.68,25.16,26.43,28.15,27.18,26.4
T2M,2014,27.33,28.72,29.01,28.09,27.05,26.63,25.93,24.42,24.49,25.29,25.81,25.3,26.49
T2M,2015,24.38,29.0,28.69,28.6,27.86,26.71,26.33,25.25,25.41,26.7,27.1,23.66,26.62
T2M,2016,25.07,27.98,30.34,29.23,28.46,26.87,25.01,24.91,24.88,25.87,27.15,26.84,26.88
T2M,2017,27.38,27.83,30.68,29.56,27.6,26.01,24.86,24.48,24.93,25.25,24.59,23.77,26.4
T2M,2018,22.65,27.93,29.11,28.44,27.35,25.95,24.75,24.5,24.75,25.8,25.99,24.22,25.93
T2M,2019,26.2,27.61,29.47,29.6,27.72,26.27,25.24,24.56,25.01,24.81,26.15,23.84,26.36
T2M,2020,24.31,26.58,29.82,28.28,28.03,26.09,24.78,25.06,24.8,25.29,26.24,26.9,26.35
T2M,2021,26.59,27.69,28.58,29.14,28.58,25.95,25.13,24.16,24.77,25.84,25.44,23.08,26.23
T2M,2022,22.45,25.21,28.84,27.82,27.59,25.6,24.86,24.28,24.37,24.98,24.1,22.98,25.25
T2M_MAX,2003,37.49,39.34,41.51,41.22,39.01,32.7,30.72,30.69,31.18,33.32,34.04,34.78,41.51
T2M_MAX,2004,36.92,38.34,41.34,38.45,33.72,32.09,30.73,30.44,30.6,32.86,34.18,36.87,41.34
T2M_MAX,2005,37.43,40.2,40.75,40.52,39.13,36.14,33.62,32.66,33.87,36.07,38.36,38.03,40.75
T2M_MAX,2006,38.82,39.72,41.06,41.9,38.59,36.67,34.79,29.58,30.55,32.1,33.39,35.01,41.9
T2M_MAX,2007,38.13,38.38,39.6,37.55,33.86,31.82,30.06,29.48,31.23,31.69,32.76,33.28,39.6
T2M_MAX,2008,33.77,36.81,40.14,40.21,38.88,35.41,31.01,29.83,30.59,32.36,35.92,36.06,40.21
T2M_MAX,2009,36.95,38.72,40.1,36.33,37.13,37.77,31.43,30.01,30.86,31.78,33.26,36.53,40.1
T2M_MAX,2010,38.42,41.08,39.37,40.56,33.38,32.64,31.14,30.3,30.87,30.49,32.47,32.45,41.08
T2M_MAX,2011,35.52,36.42,39.21,40.48,35.35,33.35,30.71,29.15,30.76,32.65,34.61,35.0,40.48
T2M_MAX,2012,38.02,38.1,39.7,38.37,37.79,31.49,29.41,29.39,30.48,31.67,32.58,32.5,39.7
T2M_MAX,2013,35.55,38.53,39.5,37.8,34.58,32.66,30.94,31.9,32.23,37.39,38.83,38.42,39.5
T2M_MAX,2014,37.7,40.18,40.34,38.77,36.23,34.42,34.35,30.34,30.09,32.32,34.51,35.86,40.34
T2M_MAX,2015,37.18,40.11,39.88,40.29,39.65,34.18,35.57,32.52,32.32,35.69,37.69,36.03,40.29
T2M_MAX,2016,37.29,40.48,41.72,40.86,39.96,38.71,32.29,30.81,31.07,33.69,37.44,37.26,41.72
T2M_MAX,2017,38.31,40.02,41.11,39.42,36.79,35.74,30.53,29.73,30.84,32.22,33.14,34.09,41.11
T2M_MAX,2018,34.7,38.32,39.17,38.43,36.81,33.22,29.97,30.16,30.47,33.49,35.56,36.23,39.17
T2M_MAX,2019,37.41,38.67,41.04,41.56,36.37,35.54,32.24,30.73,30.61,31.4,35.2,35.27,41.56
T2M_MAX,2020,36.67,39.59,39.97,38.93,38.47,34.52,31.98,33.56,30.76,34.94,36.11,37.01,39.97
T2M_MAX,2021,38.32,39.14,39.38,40.55,39.01,33.86,32.5,30.2,30.38,32.59,32.77,33.41,40.55
T2M_MAX,2022,32.8,38.11,39.2,37.94,36.69,34.15,30.83,31.25,30.33,31.8,32.4,33.68,39.2
T2M_MIN,2003,13.54,18.64,19.55,20.8,21.77,20.38,20.07,19.96,20.35,20.27,16.84,13.49,13.49
T2M_MIN,2004,15.45,16.73,17.24,22.38,21.81,20.12,19.97,20.31,20.4,20.01,18.09,16.23,15.45
T2M_MIN,2005,13.24,19.16,21.48,23.28,22.16,21.02,19.79,19.61,20.75,20.75,16.98,16.66,13.24
T2M_MIN,2006,18.28,19.45,20.48,21.82,21.21,21.07,21.19,20.68,20.15,19.88,14.17,12.8,12.8
T2M_MIN,2007,12.22,15.57,17.59,22.68,22.06,21.05,20.02,20.17,20.2,20.5,17.6,12.92,12.22
