-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  6.7779   Longitude 2.6492 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 71.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,17.08,18.44,17.34,18.28,17.6,14.38,17.1,16.66,16.7,17.59,17.92,18.18,17.27
ALLSKY_SFC_SW_DWN,2004,17.26,16.82,17.2,17.78,15.51,14.62,15.82,14.59,15.73,17.14,18.23,18.19,16.57
ALLSKY_SFC_SW_DWN,2005,17.3,17.23,18.43,17.63,16.96,14.06,13.67,15.65,15.92,17.56,18.81,17.87,16.76
ALLSKY_SFC_SW_DWN,2006,17.18,17.72,17.86,18.86,15.91,16.23,14.83,14.95,14.41,17.12,18.61,17.86,16.79
ALLSKY_SFC_SW_DWN,2007,17.18,17.66,18.42,18.61,16.74,13.7,15.14,14.92,16.35,16.55,18.19,17.1,16.7
ALLSKY_SFC_SW_DWN,2008,18.24,17.44,17.99,16.89,16.8,14.42,13.9,15.69,15.52,16.9,17.67,17.0,16.54
ALLSKY_SFC_SW_DWN,2009,18.12,17.38,16.86,18.57,17.44,15.06,13.83,14.11,15.8,16.61,17.92,18.55,16.68
ALLSKY_SFC_SW_DWN,2010,16.93,19.34,16.55,18.32,16.36,13.82,15.75,14.4,15.93,16.15,18.32,18.17,16.65
ALLSKY_SFC_SW_DWN,2011,17.53,17.85,19.45,18.21,16.38,12.96,12.93,15.24,16.5,17.17,18.68,18.05,16.74
ALLSKY_SFC_SW_DWN,2012,17.25,16.33,17.37,17.95,16.87,13.26,14.97,15.39,15.91,16.85,17.85,17.43,16.46
ALLSKY_SFC_SW_DWN,2013,17.97,17.7,19.65,18.61,16.85,14.67,14.49,16.61,15.73,17.57,18.03,17.29,17.1
ALLSKY_SFC_SW_DWN,2014,17.32,16.78,18.52,18.69,17.11,14.82,13.46,14.54,14.99,17.64,16.91,17.52,16.52
ALLSKY_SFC_SW_DWN,2015,17.54,16.92,17.39,18.24,17.97,13.32,15.8,14.29,14.11,16.62,18.45,17.41,16.51
ALLSKY_SFC_SW_DWN,2016,17.05,17.49,17.48,20.24,17.33,14.28,15.4,15.02,15.42,16.8,18.27,17.11,16.82
ALLSKY_SFC_SW_DWN,2017,17.15,17.46,19.33,18.56,15.82,14.24,13.28,13.39,14.92,16.91,17.93,16.11,16.25
ALLSKY_SFC_SW_DWN,2018,17.86,16.46,19.17,17.46,16.38,15.86,14.85,16.43,15.86,16.83,17.51,17.17,16.83
ALLSKY_SFC_SW_DWN,2019,16.88,16.54,19.62,18.59,16.37,15.23,14.72,16.91,14.42,13.71,18.14,18.27,16.62
ALLSKY_SFC_SW_DWN,2020,18.01,17.95,18.26,18.35,17.77,14.12,14.38,17.13,14.67,16.8,17.85,17.78,16.92
ALLSKY_SFC_SW_DWN,2021,17.85,17.38,16.79,18.91,18.53,15.64,16.0,15.22,15.01,17.33,18.04,16.97,16.97
ALLSKY_SFC_SW_DWN,2022,18.01,18.71,17.34,17.09,17.23,14.32,14.94,14.64,14.86,16.92,18.55,18.27,16.73
PRECTOTCORR,2003,1.46,0.78,0.68,6.56,3.33,7.43,6.27,3.69,8.43,5.07,1.36,0.31,3.78
PRECTOTCORR,2004,1.22,0.67,1.83,4.91,7.33,4.39,7.43,4.82,7.4,5.32,1.86,0.4,3.98
PRECTOTCORR,2005,0.13,1.47,2.74,2.63,3.1,9.44,3.2,2.95,5.35,3.13,1.08,0.2,2.95
PRECTOTCORR,2006,0.56,0.96,2.51,1.51,5.13,4.22,5.76,7.03,8.11,3.3,1.13,0.09,3.37
PRECTOTCORR,2007,0.03,0.58,1.37,3.51,6.8,8.08,8.32,6.48,10.95,6.26,1.19,1.18,4.58
PRECTOTCORR,2008,0.57,0.4,1.35,2.0,3.36,9.84,11.96,5.11,7.59,3.85,0.77,1.3,4.02
PRECTOTCORR,2009,1.04,0.99,2.46,6.04,4.42,7.51,7.95,4.55,4.73,6.9,1.54,0.06,4.03
PRECTOTCORR,2010,0.45,1.11,3.19,3.44,5.99,7.63,5.65,7.36,12.44,6.91,2.72,1.57,4.88
PRECTOTCORR,2011,0.03,3.06,1.05,3.27,4.72,5.96,7.78,4.76,6.54,7.27,1.96,0.04,3.87
PRECTOTCORR,2012,0.38,1.92,1.55,5.63,6.29,7.45,4.88,3.05,7.99,6.58,2.74,1.52,4.16
PRECTOTCORR,2013,1.85,1.16,3.61,4.57,4.99,3.59,5.81,1.79,5.61,3.92,1.67,0.56,3.27
PRECTOTCORR,2014,2.59,1.07,2.55,2.96,6.4,4.36,5.33,5.92,8.65,5.98,2.17,0.37,4.05
PRECTOTCORR,2015,0.14,1.13,4.71,1.96,2.82,4.72,3.63,2.49,4.4,4.39,0.91,0.08,2.62
PRECTOTCORR,2016,0.27,0.17,3.94,3.19,4.4,5.27,4.15,3.9,10.09,5.56,0.7,0.25,3.49
PRECTOTCORR,2017,0.23,0.38,1.88,3.27,4.6,8.41,6.82,3.76,5.98,2.6,1.52,0.98,3.38
PRECTOTCORR,2018,0.01,2.02,1.78,1.94,3.82,5.05,6.04,7.68,8.66,5.55,1.87,0.11,3.72
PRECTOTCORR,2019,1.34,1.86,2.67,2.81,5.73,7.04,6.88,2.65,12.28,12.92,1.98,0.75,4.92
PRECTOTCORR,2020,0.05,1.3,2.28,3.76,8.3,11.2,5.53,0.95,11.37,5.5,1.37,0.62,4.34
PRECTOTCORR,2021,0.78,0.41,3.76,3.28,2.65,5.33,5.89,7.66,7.15,4.79,3.44,0.26,3.8
PRECTOTCORR,2022,0.92,0.51,2.07,4.91,3.87,8.27,5.02,5.33,10.18,6.42,0.97,0.69,4.1
RH2M,2003,74.32,78.28,78.06,86.56,87.79,90.15,88.41,87.05,89.43,90.54,86.69,76.75,84.51
RH2M,2004,75.54,77.43,78.94,87.5,89.06,89.34,89.56,88.36,90.27,90.07,88.81,84.49,85.79
RH2M,2005,71.28,83.81,87.02,88.22,88.96,89.69,88.43,86.19,87.7,89.17,86.1,81.91,85.7
RH2M,2006,82.59,80.9,84.72,84.29,88.58,89.52,87.99,87.82,89.88,88.71,80.57,75.01,85.07
RH2M,2007,61.68,76.85,79.07,85.85,89.11,90.31,89.05,89.86,90.42,91.08,88.6,79.51,84.29
RH2M,2008,70.36,77.4,87.09,86.6,88.14,90.47,90.06,89.99,90.24,89.8,85.87,82.23,85.7
RH2M,2009,80.7,87.34,86.97,87.9,88.72,89.85,89.9,89.23,89.8,89.79,84.73,81.68,87.21
RH2M,2010,81.28,83.17,84.99,87.35,89.73,90.63,89.24,89.37,90.56,90.64,88.7,81.1,87.24
RH2M,2011,74.64,84.34,85.95,86.93,88.88,90.19,90.04,89.05,89.38,89.72,86.93,74.65,85.88
RH2M,2012,77.5,83.53,83.98,87.58,88.33,90.33,89.22,87.96,89.02,89.47,89.14,80.95,86.4
RH2M,2013,79.03,82.88,86.9,87.35,89.64,89.43,88.9,86.41,88.51,88.14,87.61,80.56,86.29
RH2M,2014,82.65,80.44,83.45,85.83,87.88,89.06,87.59,87.83,89.71,89.41,87.66,77.83,85.8
RH2M,2015,70.83,81.39,83.6,86.08,87.48,88.78,87.28,84.46,85.5,88.35,82.39,58.49,82.02
RH2M,2016,59.47,66.37,79.55,84.06,86.1,88.2,87.48,86.41,89.1,88.09,83.73,76.74,81.3
RH2M,2017,72.92,73.43,79.04,83.61,86.8,88.59,89.14,88.08,88.49,88.4,84.74,75.91,83.31
RH2M,2018,70.07,77.56,82.11,83.13,86.75,87.22,88.87,87.64,89.73,88.75,85.53,73.04,83.38
