-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  7.8888   Longitude 1.8459 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 198.31 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,18.06,18.92,18.99,19.23,20.09,16.86,16.29,15.34,16.56,19.78,19.26,18.55,18.16
ALLSKY_SFC_SW_DWN,2004,18.35,18.11,18.37,19.29,18.13,17.21,15.72,15.35,17.26,19.43,18.99,18.05,17.85
ALLSKY_SFC_SW_DWN,2005,17.45,17.76,19.16,18.8,19.41,16.3,14.52,14.65,15.82,18.81,19.39,18.04,17.51
ALLSKY_SFC_SW_DWN,2006,17.4,18.59,18.58,20.14,18.38,18.8,16.51,14.54,16.0,19.02,19.34,17.97,17.93
ALLSKY_SFC_SW_DWN,2007,17.21,18.48,19.33,19.45,18.41,17.48,15.73,14.58,16.86,18.46,19.09,17.43,17.7
ALLSKY_SFC_SW_DWN,2008,18.7,17.39,19.25,19.25,18.92,18.14,16.07,14.96,15.9,18.79,18.94,17.71,17.83
ALLSKY_SFC_SW_DWN,2009,18.1,18.37,18.04,19.69,19.32,17.7,16.04,13.87,15.81,18.3,19.07,18.58,17.73
ALLSKY_SFC_SW_DWN,2010,18.07,19.63,17.69,20.03,18.53,17.61,16.59,14.62,16.38,18.02,18.79,18.94,17.89
ALLSKY_SFC_SW_DWN,2011,17.76,18.25,20.35,20.1,18.16,16.52,14.95,14.43,16.17,18.6,19.78,18.35,17.78
ALLSKY_SFC_SW_DWN,2012,17.78,17.15,18.76,19.45,19.35,16.59,15.01,15.18,16.0,18.23,19.01,18.0,17.54
ALLSKY_SFC_SW_DWN,2013,18.82,18.33,19.61,19.76,19.23,17.64,15.6,16.44,15.79,18.82,18.97,18.21,18.1
ALLSKY_SFC_SW_DWN,2014,17.64,17.8,19.73,19.96,18.54,18.55,15.51,14.45,16.03,19.01,18.34,17.93,17.79
ALLSKY_SFC_SW_DWN,2015,17.8,18.06,18.76,18.97,19.42,17.08,16.23,14.58,15.81,18.58,19.6,17.28,17.68
ALLSKY_SFC_SW_DWN,2016,17.4,17.78,19.25,20.86,18.53,16.18,15.5,15.07,16.83,19.44,19.26,17.41,17.79
ALLSKY_SFC_SW_DWN,2017,17.95,18.14,20.91,19.95,18.87,17.45,15.72,14.11,14.95,19.01,18.98,16.52,17.71
ALLSKY_SFC_SW_DWN,2018,17.77,17.55,20.5,18.98,18.69,17.82,15.58,16.0,16.45,18.67,19.32,17.58,17.91
ALLSKY_SFC_SW_DWN,2019,18.21,18.23,20.23,20.19,18.68,17.01,15.91,16.03,15.57,15.79,19.21,19.23,17.85
ALLSKY_SFC_SW_DWN,2020,18.09,18.51,18.87,20.38,19.74,17.52,14.74,16.89,14.63,18.54,19.43,18.3,17.97
ALLSKY_SFC_SW_DWN,2021,18.04,17.91,17.91,20.61,20.07,17.8,16.91,15.53,16.25,19.65,19.37,17.3,18.11
ALLSKY_SFC_SW_DWN,2022,18.5,19.22,18.73,18.27,18.65,16.98,15.9,14.79,14.85,18.57,19.86,18.94,17.76
PRECTOTCORR,2003,1.61,0.39,0.69,4.24,4.43,8.12,9.51,10.19,9.16,4.6,0.76,0.09,4.5
PRECTOTCORR,2004,1.78,0.32,0.79,4.93,4.52,6.24,10.56,6.76,7.39,4.49,2.83,0.41,4.26
PRECTOTCORR,2005,0.05,1.16,1.9,3.35,4.15,5.88,6.48,5.17,6.26,3.52,0.33,0.07,3.2
PRECTOTCORR,2006,1.32,0.46,1.42,1.98,5.42,4.56,6.02,6.73,8.86,3.67,0.26,0.04,3.41
PRECTOTCORR,2007,0.01,0.6,0.86,4.5,6.59,4.55,8.78,7.39,10.55,3.03,0.52,0.68,4.02
PRECTOTCORR,2008,0.19,0.29,1.47,1.78,3.47,8.3,10.46,5.41,8.36,3.32,0.21,1.07,3.7
PRECTOTCORR,2009,1.24,0.67,2.07,5.9,4.37,6.24,9.97,6.9,7.89,4.97,0.93,0.05,4.29
PRECTOTCORR,2010,0.07,0.68,2.13,4.27,4.83,5.43,6.02,7.21,11.86,6.04,0.79,0.15,4.14
PRECTOTCORR,2011,0.02,1.56,1.91,2.37,4.39,5.13,7.07,7.45,9.47,5.6,0.17,0.0,3.77
PRECTOTCORR,2012,0.33,1.72,0.72,3.95,6.18,7.41,6.2,5.19,7.26,5.21,0.66,0.28,3.76
PRECTOTCORR,2013,0.38,0.54,3.1,5.46,4.33,5.02,4.62,3.18,6.52,4.72,0.57,0.19,3.23
PRECTOTCORR,2014,1.47,0.47,2.19,3.53,4.5,4.74,5.19,8.03,9.89,4.85,0.71,0.08,3.82
PRECTOTCORR,2015,0.09,0.61,3.28,1.7,2.65,4.03,5.18,6.07,7.28,4.49,0.14,0.01,2.98
PRECTOTCORR,2016,0.01,0.28,2.76,4.25,4.3,5.88,8.43,7.34,9.21,3.77,0.11,0.27,3.89
PRECTOTCORR,2017,0.24,0.41,1.15,3.76,4.02,8.51,11.34,6.25,6.62,2.65,0.72,0.19,3.84
PRECTOTCORR,2018,0.0,1.46,2.24,4.01,3.02,5.97,6.61,12.42,9.19,5.15,0.48,0.01,4.23
PRECTOTCORR,2019,0.82,0.57,3.31,2.61,4.69,6.38,10.05,3.71,13.96,9.66,1.07,0.07,4.76
PRECTOTCORR,2020,0.01,2.42,1.91,4.35,8.44,8.19,7.57,2.18,7.96,11.02,0.16,0.07,4.53
PRECTOTCORR,2021,0.22,0.04,3.56,2.85,3.87,5.87,8.18,8.4,6.7,4.12,0.98,0.38,3.79
PRECTOTCORR,2022,1.02,0.2,2.19,4.49,3.37,7.39,4.75,12.82,8.54,7.5,0.29,0.05,4.41
RH2M,2003,64.72,67.15,66.3,78.1,79.57,87.3,87.2,87.98,88.32,88.58,81.61,67.97,78.77
RH2M,2004,63.47,69.12,71.01,83.13,85.66,86.77,88.03,88.47,88.39,88.09,85.34,76.25,81.16
RH2M,2005,63.45,76.72,80.98,82.79,85.85,87.55,87.22,86.76,86.41,86.4,78.81,69.43,81.03
RH2M,2006,70.69,67.39,73.08,71.13,84.26,85.78,86.01,87.39,88.05,86.96,70.49,57.65,77.47
RH2M,2007,53.05,64.82,66.21,81.18,85.77,86.02,87.16,88.29,87.8,88.62,83.79,69.87,78.59
RH2M,2008,60.17,62.74,77.02,75.98,81.23,85.97,87.8,88.38,88.56,85.97,76.7,73.93,78.76
RH2M,2009,69.11,78.58,76.27,83.57,84.31,86.44,87.39,87.71,88.08,87.64,78.52,70.72,81.52
RH2M,2010,66.65,71.54,74.96,78.88,85.89,87.08,86.85,88.13,88.4,88.66,84.48,70.93,81.08
RH2M,2011,66.3,75.17,79.29,78.69,84.13,86.37,87.44,87.98,87.19,87.82,80.4,61.12,80.17
RH2M,2012,63.68,72.97,72.34,80.22,82.76,86.28,87.84,87.24,87.38,86.79,82.4,70.8,80.05
RH2M,2013,66.53,68.75,77.25,80.24,84.12,85.25,84.96,81.29,85.56,84.37,77.99,64.9,78.47
RH2M,2014,65.22,59.88,69.88,75.48,81.41,83.43,82.36,86.9,87.6,86.44,82.07,66.78,77.38
RH2M,2015,58.29,68.25,71.17,73.49,75.16,81.75,83.27,84.91,85.64,85.32,73.96,51.44,74.39
RH2M,2016,43.18,45.36,68.45,77.33,78.8,83.02,87.93,87.15,86.94,85.72,78.68,71.97,74.63
RH2M,2017,63.33,62.46,66.3,76.18,80.03,84.64,87.29,87.87,87.77,85.1,78.09,69.42,77.45
RH2M,2018,59.29,69.58,75.71,80.44,82.79,84.33,87.34,87.94,88.69,86.62,79.3,65.51,78.99
RH2M,2019,66.82,69.41,77.58,79.92,83.19,86.98,87.12,87.17,88.67,89.24,81.58,66.53,80.4
RH2M,2020,61.95,61.37,78.16,81.14,84.76,87.26,88.37,86.21,87.47,86.18,79.36,73.72,79.72
RH2M,2021,69.14,68.76,76.51,78.42,80.54,83.19,86.01,87.14,86.23,86.01,82.92,70.11,79.64
RH2M,2022,63.01,62.74,73.94,79.41,80.22,84.22,85.5,86.91,87.54,85.45,75.4,67.87,77.76
T2M,2003,25.64,27.99,28.65,27.71,27.33,25.26,24.76,24.56,24.98,25.55,25.66,24.32,26.02
T2M,2004,25.21,26.19,27.16,26.93,26.31,25.36,24.67,24.67,24.96,25.27,25.7,25.58,25.66
