-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  11.0364   Longitude 1.4439 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 217.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,20.34,21.44,22.23,22.85,23.23,19.88,19.18,17.56,20.75,21.94,20.46,20.45,20.85
ALLSKY_SFC_SW_DWN,2004,20.51,19.84,19.9,20.85,20.02,20.68,19.74,18.53,19.25,21.85,19.8,20.45,20.12
ALLSKY_SFC_SW_DWN,2005,17.88,19.31,19.96,22.06,22.14,20.65,18.83,18.45,20.35,21.45,20.01,20.77,20.16
ALLSKY_SFC_SW_DWN,2006,20.04,21.47,21.69,22.15,20.49,20.03,18.79,17.81,18.53,21.39,21.09,19.31,20.22
ALLSKY_SFC_SW_DWN,2007,18.39,22.18,21.5,20.35,20.87,21.47,18.22,18.3,20.02,20.93,19.53,19.18,20.06
ALLSKY_SFC_SW_DWN,2008,20.93,20.56,22.49,21.85,21.38,21.0,18.28,18.31,18.55,20.68,21.32,20.19,20.46
ALLSKY_SFC_SW_DWN,2009,20.09,19.5,20.58,23.03,21.93,20.13,19.47,19.0,18.76,21.04,20.1,20.7,20.36
ALLSKY_SFC_SW_DWN,2010,22.2,22.44,20.05,20.1,21.0,20.16,17.69,17.92,18.3,20.16,19.87,20.67,20.03
ALLSKY_SFC_SW_DWN,2011,20.13,20.31,22.3,22.48,21.15,20.25,19.53,18.2,19.81,20.6,21.87,20.0,20.55
ALLSKY_SFC_SW_DWN,2012,20.88,19.88,21.17,22.07,20.61,20.43,18.91,18.17,19.57,20.91,20.54,19.76,20.24
ALLSKY_SFC_SW_DWN,2013,20.44,21.55,21.67,21.86,22.53,20.53,19.07,17.62,20.16,21.33,21.04,19.66,20.61
ALLSKY_SFC_SW_DWN,2014,20.21,21.79,22.6,22.08,20.99,20.77,19.19,17.36,18.54,21.26,20.36,20.44,20.46
ALLSKY_SFC_SW_DWN,2015,19.93,22.03,20.95,21.9,21.9,21.42,19.11,17.56,19.51,21.05,20.88,18.01,20.33
ALLSKY_SFC_SW_DWN,2016,18.68,20.2,21.02,22.94,21.61,19.1,18.56,18.13,19.11,21.06,19.77,19.36,19.96
ALLSKY_SFC_SW_DWN,2017,20.88,21.53,24.32,21.98,20.72,19.64,19.81,17.06,19.69,21.77,20.79,18.34,20.53
ALLSKY_SFC_SW_DWN,2018,19.7,21.06,22.56,22.53,21.96,19.41,18.63,17.13,19.03,20.79,21.1,20.19,20.33
ALLSKY_SFC_SW_DWN,2019,21.3,22.11,21.58,21.6,21.74,21.62,18.72,18.43,18.64,19.29,21.83,21.26,20.66
ALLSKY_SFC_SW_DWN,2020,19.44,21.68,22.19,21.88,21.88,19.37,19.0,18.48,18.78,21.24,21.44,21.03,20.53
ALLSKY_SFC_SW_DWN,2021,22.44,22.14,21.23,24.23,23.35,20.95,18.42,17.39,18.45,21.81,21.71,20.12,21.01
ALLSKY_SFC_SW_DWN,2022,21.02,22.46,19.34,22.0,21.23,20.82,18.81,17.68,16.13,20.79,21.0,19.58,20.05
PRECTOTCORR,2003,0.02,0.14,0.44,2.38,4.14,6.69,5.48,10.52,6.01,3.57,0.72,0.0,3.36
PRECTOTCORR,2004,0.24,0.02,0.05,2.55,3.64,5.25,8.19,6.49,5.98,1.78,1.35,0.0,2.97
PRECTOTCORR,2005,0.04,0.15,0.35,1.69,3.53,5.4,6.77,6.81,5.82,1.94,0.0,0.0,2.72
PRECTOTCORR,2006,0.0,0.11,0.04,1.09,3.41,2.93,6.93,8.66,7.55,2.59,0.0,0.0,2.8
PRECTOTCORR,2007,0.0,0.02,0.5,2.19,3.93,4.27,7.96,10.59,5.46,0.95,0.29,0.02,3.04
PRECTOTCORR,2008,0.0,0.0,0.2,1.47,1.91,5.19,6.73,10.96,6.59,2.15,0.0,0.02,2.95
PRECTOTCORR,2009,0.0,0.08,0.15,1.97,2.34,5.87,7.08,10.28,6.59,3.61,0.6,0.0,3.23
PRECTOTCORR,2010,0.0,0.03,0.06,2.05,4.53,5.36,5.78,9.01,7.71,4.08,0.2,0.0,3.25
PRECTOTCORR,2011,0.0,0.26,0.58,1.28,3.38,3.71,6.43,10.3,6.23,2.58,0.0,0.0,2.92
PRECTOTCORR,2012,0.0,0.51,0.09,1.8,4.82,5.38,7.53,9.27,5.85,4.62,0.3,0.0,3.36
PRECTOTCORR,2013,0.0,0.84,0.82,4.04,2.88,5.31,5.55,7.28,4.86,1.6,0.1,0.0,2.78
PRECTOTCORR,2014,0.05,0.01,0.43,3.13,2.64,4.57,4.14,7.23,7.24,1.94,0.24,0.0,2.64
PRECTOTCORR,2015,0.0,0.34,0.1,0.56,2.25,3.53,7.11,9.42,8.93,3.21,0.03,0.0,2.97
PRECTOTCORR,2016,0.0,0.02,0.55,2.87,2.8,5.21,7.83,8.51,7.69,1.21,0.0,0.0,3.06
PRECTOTCORR,2017,0.0,0.0,0.09,2.0,3.09,8.38,7.99,8.46,5.32,2.04,0.08,0.0,3.14
PRECTOTCORR,2018,0.0,0.1,0.42,1.33,3.28,4.9,10.42,7.36,6.59,2.38,0.0,0.0,3.09
PRECTOTCORR,2019,0.0,0.0,0.78,1.81,3.02,5.67,11.3,6.9,6.18,4.89,0.04,0.0,3.41
PRECTOTCORR,2020,0.0,0.0,0.09,1.68,2.4,6.12,6.92,10.16,8.93,4.99,0.03,0.0,3.45
PRECTOTCORR,2021,0.0,0.0,0.11,0.7,2.35,5.68,7.48,10.28,5.67,2.03,0.09,0.0,2.89
PRECTOTCORR,2022,0.04,0.0,0.23,1.84,3.37,5.96,6.59,9.16,13.0,2.92,0.02,0.0,3.61
RH2M,2003,20.68,22.86,21.62,55.04,59.35,78.53,80.78,84.58,82.61,77.3,60.88,39.67,57.14
RH2M,2004,33.12,26.74,25.8,59.32,69.99,77.06,81.9,84.17,83.97,76.74,62.65,35.61,59.82
RH2M,2005,29.2,31.46,43.15,54.39,67.14,76.5,81.83,84.5,80.73,72.17,46.27,31.15,58.36
RH2M,2006,27.69,23.04,28.08,39.97,65.37,68.82,78.95,86.39,85.72,77.67,48.08,36.24,55.71
RH2M,2007,29.05,19.83,27.05,61.26,72.75,75.94,82.1,86.91,82.73,76.71,58.98,41.81,59.81
RH2M,2008,28.54,22.56,32.65,41.11,59.99,64.04,81.03,85.01,83.89,75.0,48.86,41.16,55.45
RH2M,2009,31.49,34.68,34.1,58.36,64.05,72.59,81.46,84.89,84.57,80.34,63.96,44.4,61.36
RH2M,2010,29.69,34.49,33.36,53.91,71.45,76.15,82.26,85.63,85.59,83.18,64.81,45.53,62.31
RH2M,2011,42.94,46.48,54.18,50.36,71.72,75.22,81.19,84.43,82.18,77.08,48.45,33.15,62.39
RH2M,2012,28.67,32.95,28.29,55.1,71.85,77.53,83.2,84.94,83.99,80.3,62.84,48.11,61.55
RH2M,2013,34.14,34.45,55.4,64.25,67.77,77.9,81.36,83.95,81.95,64.92,46.89,30.83,60.45
RH2M,2014,25.42,20.1,33.21,57.2,62.11,72.0,72.82,83.01,82.22,71.74,51.65,30.29,55.32
RH2M,2015,21.17,28.11,28.42,36.21,56.85,67.05,77.93,85.91,83.55,77.6,54.0,40.61,54.94
RH2M,2016,29.27,23.73,37.89,60.69,64.95,71.83,83.15,83.88,83.46,71.28,54.76,42.6,59.05
RH2M,2017,29.27,20.05,25.76,50.48,65.04,77.74,82.52,84.34,82.75,71.05,53.34,43.54,57.36
RH2M,2018,30.16,34.11,40.52,52.57,66.73,77.49,82.86,85.05,83.93,77.57,56.67,44.83,61.19
RH2M,2019,32.35,24.47,34.25,53.81,68.56,75.29,82.94,86.19,82.77,84.06,60.9,45.61,61.15
RH2M,2020,36.94,25.34,44.51,57.5,63.85,77.8,82.04,84.79,84.18,76.63,62.2,48.91,62.17
RH2M,2021,35.41,26.05,41.85,47.07,60.65,72.81,81.98,86.04,83.62,75.8,57.86,41.58,59.43
RH2M,2022,31.35,25.86,40.09,56.11,67.47,75.77,80.93,85.51,86.18,76.25,61.15,50.99,61.67
T2M,2003,25.94,30.43,30.79,31.07,30.67,26.98,26.24,25.78,25.95,27.4,26.61,24.35,27.66
T2M,2004,25.85,27.29,29.64,30.45,29.09,27.22,25.89,25.9,25.9,26.91,26.2,26.16,27.21
T2M,2005,23.83,29.82,32.09,31.67,29.32,27.51,26.18,25.96,26.77,27.05,26.86,26.34,27.76
T2M,2006,28.1,30.15,31.5,32.11,29.49,28.55,26.92,25.58,25.71,27.16,25.5,23.56,27.84
T2M,2007,22.72,27.69,30.8,30.46,28.95,27.47,26.08,25.22,26.22,26.95,26.69,24.91,27.0
T2M,2008,22.62,26.17,30.95,31.53,30.25,29.39,26.23,25.63,26.1,26.82,26.12,25.59,27.28
T2M,2009,26.11,29.72,31.79,30.74,29.78,28.18,26.45,25.83,26.18,26.81,25.47,24.85,27.64
T2M,2010,25.39,29.79,30.7,31.52,29.36,27.87,26.11,25.83,25.64,26.33,27.04,24.3,27.47
T2M,2011,23.18,27.98,30.26,30.63,28.72,27.65,26.35,25.8,26.21,26.91,26.47,23.3,26.94
